Region;Zone;Wereda;pcode;Date;seasone;seson_year;directely affected;Indirectly Affected;Affected;Deaths;Injured;Crop Damages;Lost Cattle ;Relocated ;Houses Destroyed 
 Amhara; Wag Himra;Sekota;030802;01/08/2010;Kiremt;Kiremt_2010;; ;; ; ;21;0; ; 
 Amhara; Wag Himra;Ziquala;030801;01/08/2010;Kiremt;Kiremt_2010;;505,00;505; ; ;87;460; ; 
 Amhara; North Gondar;west Belesa;030116;01/08/2010;Kiremt;Kiremt_2010;;505,00;505; ; ; ;0;505;110
 Tigray; Central Tigray;Werei Leke;010203;01/08/2006;Kiremt;Kiremt_2006;; ;; ; ;491;12; ;24
 Amhara; South Welo;Babo;040111;01/08/2010;Kiremt;Kiremt_2010;;10183,00;10183; ; ;229;27; ; 
 Amhara; West Gojam;Bure;030710;01/08/2010;Kiremt;Kiremt_2010;;1960,00;1960; ; ;521;0; ; 
 Tigray; North Western Tigray;Welkait;010502;01/07/2010;Kiremt;Kiremt_2010;;125,00;125; ; ;75;0; ; 
 Amhara; South Welo;Wegde;030416;30/11/2007;Kiremt;Kiremt_2007;;1,00;1;1; ;;28; ; 
 Amhara; South Welo;Wegde;030416;30/11/2007;Kiremt;Kiremt_2007;;1,00;1;1; ;;28; ; 
 Amhara; South Welo;Wegde;030416;07/09/2006;Kiremt;Kiremt_2006;;828,00;828; ; ;710;177;135; 
 Amhara; North Gondar;Dembia;030111;01/08/2010;Kiremt;Kiremt_2010;; ;; ; ;124;0; ; 
Amhara;South Gondar ;wegera;030109;20/08/2011;Kiremt;Kiremt_2011;;;0;;;;;;
 Oromiya; Borena;Teltele;041212;01/04/2010;Belge;Belge_2010;;3000,00;3000; ; ;16003;12;1050; 
 Amhara; South Welo;Tehuledere;#N/A;01/08/2004;Kiremt;Kiremt_2004;; ;;2;1; ;0; ; 
 Amhara; South Welo;Kalu;030407;01/08/2010;Kiremt;Kiremt_2010;;8107,00;8107; ; ;873;4;232;13
 Amhara; South Welo;Kalu;030407;01/08/2010;Kiremt;Kiremt_2010;;2750,00;2750; ; ;189;37; ; 
 Amhara; South Welo;Kalu;030407;01/08/2010;Kiremt;Kiremt_2010;; ;; ; ;125;57; ; 
 Amhara; North Gondar;Taqusa;#N/A;07/09/2008;Kiremt;Kiremt_2008;;22,00;22; ; ; ;0; ; 
 Tigray; West Tigray;Tahtay Adiyabo;010101;01/08/2010;Kiremt;Kiremt_2010;;2952,00;2952; ; ; ;0; ; 
 Tigray; West Tigray;Tahtay Adiyabo;010101;01/07/2010;Kiremt;Kiremt_2010;;2200,00;2200; ; ;875;12; ; 
 Amhara; South Welo;Kutaber;030403;01/08/2010;Kiremt;Kiremt_2010;;7891,00;7891; ; ;382;1; ; 
 Amhara; South Welo;Tenta;030402;01/08/2010;Kiremt;Kiremt_2010;;3645,00;3645; ; ;223;8; ; 
 Amhara; South Welo;Mekdela;030401;01/08/2010;Kiremt;Kiremt_2010;;726,00;726; ; ;60;0; ; 
 Amhara; South Welo;Jama;030414;01/08/2010;Kiremt;Kiremt_2010;;6,00;6; ; ;;4;6; 
 Amhara; South Welo;Albuko;030408;01/08/2010;Kiremt;Kiremt_2010;;28150,00;28150; ; ;4089;88;249; 
 Amhara; North Welo;Delanta;030306;01/08/2010;Kiremt;Kiremt_2010;;12686,00;12686; ; ;1470;65;39; 
 SNNPR; Silte;Selti;072002;07/09/2006;Kiremt;Kiremt_2006;;3120,00;3120; ; ; ;0; ; 
 SNNPR; Silte;Selti;072002;06/12/2006;Kiremt;Kiremt_2006;; ;; ; ;;121;3120;984
 Tigray; West Tigray;shire;010108;01/08/2010;Kiremt;Kiremt_2010;;999,00;999; ; ; ;0; ; 
 Amhara; South Welo;Ambasel;030404;01/08/2010;Kiremt;Kiremt_2010;;77853,00;77853; ; ;2716;19;805; 
 Amhara; South Gonder;Dera;040602;01/08/2010;Kiremt;Kiremt_2010;;18641,00;18641; ; ;2726;316; ;79
 Amhara; South Gonder;Libo Kemkem;030202;01/08/2010;Kiremt;Kiremt_2010;; ;; ; ;387;62; ; 
 Amhara; South Gonder;Fogera;030203;01/08/2010;Kiremt;Kiremt_2010;; ;; ; ;1164;64; ; 
 Amhara; West Gojam;Bure;030710;01/08/2010;Kiremt;Kiremt_2010;;1960,00;1960; ; ; ;0; ; 
 Amhara; South Welo;Kalu;030407;01/08/2010;Kiremt;Kiremt_2010;;8540,00;8540; ; ;972;45;726; 
 SNNPR; Sidama;Shashogo;070204;07/09/2006;Kiremt;Kiremt_2006;;1540,00;1540; ; ; ;0; ; 
 Amhara; North Shewa;Kewet;030512;01/08/2010;Kiremt;Kiremt_2010;;1495,00;1495; ; ;110;3; ; 
 Amhara; North Welo;Wadla;030305;01/08/2010;Kiremt;Kiremt_2010;;1336,00;1336; ; ;116;9; ; 
 SNNPR; Hadiya;Shashogo;070204;07/09/2006;Kiremt;Kiremt_2006;;7500,00;7500; ; ; ;0; ; 
 Amhara; North Welo;Bugna;030301;01/08/2010;Kiremt;Kiremt_2010;;4462,00;4462; ; ;1004;28;50; 
 Amhara; North Welo;Wadla;030305;01/08/2010;Kiremt;Kiremt_2010;;18935,00;18935; ; ;1866;23;3; 
 SNNPR; Hadiya;Shashogo;070204;06/12/2006;Kiremt;Kiremt_2006;; ;;2; ;5066;0;8258; 
 Amhara; North Welo;Kobo;030302;01/08/2010;Kiremt;Kiremt_2010;;494,00;494; ; ; ;0;494; 
 Amhara; North Welo;Kobo;030302;01/08/2010;Kiremt;Kiremt_2010;;5728,00;5728; ; ;493;14;47;44
 Amhara; North Welo;Habru;030308;01/08/2010;Kiremt;Kiremt_2010;;37796,00;37796; ; ;5064;72;2919; 
 Amhara; North Welo;Habru;030308;01/08/2010;Kiremt;Kiremt_2010;;31255,00;31255; ; ;3422;58;2624; 
 SNNPR; Hadiya;Shashogo;070204;07/09/2005;Kiremt;Kiremt_2005;;17,00;17; ; ;5.4;0; ; 
 Afar; Zone 5;Dewe;020503;29/07/2010;Kiremt;Kiremt_2010;;1000,00;1000; ; ; ;0; ; 
 Amhara; Oromiya Zone;Artuma Fursi;031004;01/08/2010;Kiremt;Kiremt_2010;;7560,00;7560; ; ;1202;3;5883; 
 Afar; Zone 5;Simurobi Gele'alo;020502;29/07/2010;Kiremt;Kiremt_2010;;1000,00;1000; ; ; ;0; ; 
 Afar; Zone 5;Simurobi Gele'alo;020502;29/07/2010;Kiremt;Kiremt_2010;;1100,00;1100; ; ;346;0; ; 
 Tigray; South Tigray;Alamata;010407;01/08/2010;Kiremt;Kiremt_2010;;5363,00;5363; ; ; ;0; ; 
 Tigray; South Tigray;Alamata;010407;01/08/2010;Kiremt;Kiremt_2010;;18384,00;18384; ; ; ;0; ; 
 Afar; Zone 5;Simurobi Gele'alo;020502;07/09/2006;Kiremt;Kiremt_2006;; ;; ; ;;660; ; 
 Afar; Zone 5;Simurobi Gele'alo;020502;07/09/2006;Kiremt;Kiremt_2006;; ;; ; ;;550; ; 
 Afar; Zone 5;Simurobi Gele'alo;020502;07/09/2006;Kiremt;Kiremt_2006;; ;; ; ;;620; ; 
 Afar; Zone 5;Simurobi Gele'alo;020502;07/09/2006;Kiremt;Kiremt_2006;; ;; ; ;;450; ; 
 Afar; Zone 5;Simurobi Gele'alo;020502;07/09/2006;Kiremt;Kiremt_2006;; ;; ; ;;400; ; 
 Amhara; West Gojam;Semen Achefer;030701;01/08/2010;Kiremt;Kiremt_2010;;250,00;250; ; ; ;0; ; 
 Tigray; South Tigray;Enderta;010602;01/08/2010;Kiremt;Kiremt_2010;;395,00;395; ; ;37;8; ; 
 SNNPR; South Omo;selamgo;#N/A;07/09/2007;Kiremt;Kiremt_2007;;25000,00;25000; ; ; ;0; ; 
 Tigray; South Tigray;Seharti Samre;#N/A;01/07/2010;Kiremt;Kiremt_2010;;980,00;980; ; ;404;49; ; 
 Tigray; Central Tigray;Degua Temben;010604;01/08/2010;Kiremt;Kiremt_2010;;130,00;130; ; ;5;0; ; 
 Amhara; Wag Himra;Sehala;#N/A;20/03/2009;Belge;Belge_2009;; ;; ; ;;14; ; 
 Tigray; East Tigray;Saesi Tsesada Amba;#N/A;01/08/2010;Kiremt;Kiremt_2010;;7950,00;7950; ; ;530;0; ; 
 Tigray; East Tigray;Saesi Tsesada Amba;#N/A;01/08/2006;Kiremt;Kiremt_2006;; ;;6; ; ;0; ; 
 SNNPR; South Omo;Nyanigatom;#N/A;07/09/2006;Kiremt;Kiremt_2006;;6000,00;6000; ; ; ;0; ; 
 Tigray; Central Tigray;Nader Adet;#N/A;01/08/2010;Kiremt;Kiremt_2010;;9120,00;9120; ; ;727;0; ; 
Amhara;South Gondar ;Nabega;#N/A;20/08/2011;Kiremt;Kiremt_2011;;;0;;;;;;
 Tigray; Central Tigray;Tahtay Maychew;010206;01/07/2010;Kiremt;Kiremt_2010;;3550,00;3550; ; ;208;0; ; 
 Tigray; West Tigray;Tahtay Koraro;010104;01/07/2010;Kiremt;Kiremt_2010;;4735,00;4735; ; ;569;33; ; 
 Tigray; West Tigray;Medebay Zana;010103;01/07/2010;Kiremt;Kiremt_2010;;2145,00;2145; ; ;225;0; ; 
 Tigray; West Tigray;Medebay Zana;010103;01/07/2010;Kiremt;Kiremt_2010;;3020,00;3020; ; ;202;0; ; 
 Tigray; Central Tigray;Kola Temben;010208;01/06/2010;Belge;Belge_2010;;4450,00;4450; ; ;573;96; ; 
 Tigray; East Tigray;Erob;010302;01/07/2010;Kiremt;Kiremt_2010;;755,00;755; ; ;14;17; ; 
 Tigray; South Tigray;Ofla;010408;01/07/2010;Kiremt;Kiremt_2010;;39705,00;39705;7;;2583;45;85; 
 Tigray; South Tigray;Mychew /Town/;#N/A;01/08/2010;Kiremt;Kiremt_2010;;853,00;853; ; ; ;0; ; 
 Tigray; North Western Tigray;Kafta Humera;010501;01/07/2010;Kiremt;Kiremt_2010;;1385,00;1385; ; ;3534;0; ; 
 Tigray; South Tigray;Mychew /Town/;#N/A;01/08/2010;Kiremt;Kiremt_2010;;1264,00;1264; ; ; ;0; ; 
 Somali; Afder;Mirab Imi/Shebele;#N/A;07/09/2006;Kiremt;Kiremt_2006;;41000,00;41000;7;2; ;0; ; 
 Tigray; South Tigray;Endamehoni;010405;01/08/2010;Kiremt;Kiremt_2010;;41950,00;41950; ; ;2226;107; ; 
 Tigray; South Tigray;Raya Azebo;010406;01/07/2010;Kiremt;Kiremt_2010;;10255,00;10255; ; ;250;303;1362; 
 Tigray; Central Tigray;Adwa;010204;01/07/2010;Kiremt;Kiremt_2010;;1410,00;1410; ; ; ;0;94; 
 Tigray; East Tigray;Hawzen;010305;01/07/2010;Kiremt;Kiremt_2010;;3630,00;3630; ; ;78;0; ; 
 Tigray; East Tigray;Hawzen;010305;30/11/2010;Kiremt;Kiremt_2010;;10135,00;10135; ; ;1177;0; ; 
 Tigray; South Tigray;Alamata;010407;21/12/2010;Kiremt;Kiremt_2010;;11885,00;11885;2;;2416;202;9875; 
 Somali; Afder;Mirab Imi/Shebele;#N/A;07/09/2005;Kiremt;Kiremt_2005;;66,00;66; ; ; ;0;3000; 
 Somali; Afder;Mirab Imi/Shebele;#N/A;22/04/2005;Belge;Belge_2005;;13415,00;13415;55; ;;14128; ;900
 Amhara; North Gondar;Mirab Belesa;#N/A;01/06/2004;Belge;Belge_2004;; ;;2; ; ;0; ; 
 Afar; Zone 4;Ewa;020402;28/08/2010;Kiremt;Kiremt_2010;;1200,00;1200; ; ; ;0; ; 
 Amhara; North Gondar;Mirab Belesa;#N/A;01/08/2004;Kiremt;Kiremt_2004;;1100,00;1100; ; ;112;0; ; 
 SNNPR; Gamugofa;Mierab Abaya;#N/A;22/06/2007;Belge;Belge_2007;; ;; ; ;179;45;500; 
 SNNPR; Gamugofa;Mierab Abaya;#N/A;07/09/2007;Kiremt;Kiremt_2007;;470,00;470; ; ;400;108;470; 
 SNNPR; Gamugofa;Mierab Abaya;#N/A;07/09/2006;Kiremt;Kiremt_2006;;300,00;300; ; ; ;0; ; 
 SNNPR; Gamugofa;Mierab Abaya;#N/A;03/12/2003;Kiremt;Kiremt_2003;; ;; ; ;120;0;300; 
 Oromiya; East Shewa;Metta;#N/A;01/04/2010;Belge;Belge_2010;;1800,00;1800; ; ;3467;0;630; 
 Afar; Zone 4;Chifra;020106;15/08/2010;Kiremt;Kiremt_2010;;600,00;600; ; ; ;0; ; 
 Afar; Zone 3;Chifra;020106;28/07/2010;Kiremt;Kiremt_2010;;18600,00;18600; ; ;865;0;18600; 
 Afar; Zone 2;Chifra;020106;14/08/2010;Kiremt;Kiremt_2010;;15630,00;15630; ; ;160;0;15630; 
 Afar; Zone 1;Chifra;020106;22/07/2010;Kiremt;Kiremt_2010;;11500,00;11500; ; ;1642;0;11500; 
 Tigray; Central Tigray;Mereb Lehe;#N/A;01/08/2010;Kiremt;Kiremt_2010;;5772,00;5772; ; ; ;0; ; 
 Tigray; Central Tigray;Mereb Lehe;#N/A;01/08/2010;Kiremt;Kiremt_2010;;15810,00;15810; ; ;1054;72; ; 
 Oromiya; Bale;Agarfa;041104;01/07/2010;Kiremt;Kiremt_2010;;4000,00;4000; ; ; ;0; ; 
 Amhara; North Shewa;Merahbete;030502;01/08/2010;Kiremt;Kiremt_2010;;1697,00;1697; ; ;50;0; ; 
 Oromiya; East Shewa;Melka Belo;#N/A;01/04/2010;Belge;Belge_2010;;1000,00;1000; ; ;53;3;350; 
 Oromiya; East Shewa;Melka Belo;#N/A;07/09/2007;Kiremt;Kiremt_2007;; ;; ; ;120;0; ; 
 Oromiya; East Shewa;Adama;040703;01/07/2010;Kiremt;Kiremt_2010;;5000,00;5000; ; ; ;0;1750; 
 Oromiya; East Shewa;Boset;040702;01/07/2010;Kiremt;Kiremt_2010;;4000,00;4000; ; ; ;0; ; 
 Oromiya; East Shewa;Haro Maya;041006;01/04/2010;Belge;Belge_2010;; ;; ; ;187;0; ; 
 Oromiya; East Shewa;Kombolcha;041001;01/04/2010;Belge;Belge_2010;; ;; ; ;63;0; ; 
 Amhara; East Gojam;Machakel;#N/A;01/08/2005;Kiremt;Kiremt_2005;; ;; ; ;239;0; ; 
 Oromiya; East Shewa;Girawa;041016;01/04/2010;Belge;Belge_2010;;5000,00;5000; ; ;616;0; ; 
 Amhara; East Gojam;Machakel;#N/A;01/08/2005;Kiremt;Kiremt_2005;; ;; ; ; ;0; ;34
 Oromiya; East Shewa;Bedeno;041013;01/04/2010;Belge;Belge_2010;;1700,00;1700; ; ;49;0; ; 
 Amhara; East Gojam;Machakel;#N/A;01/08/2005;Kiremt;Kiremt_2005;;2315,00;2315; ; ;775;0; ;27
 Oromiya; East Shewa;Deder;041011;01/04/2010;Belge;Belge_2010;;2000,00;2000; ; ;195;0; ; 
 Oromiya; East Shewa;Goro Gutu;041010;01/04/2010;Belge;Belge_2010;;3000,00;3000; ; ;185;0;1050; 
 SNNPR; Sidama;Loko Abeya;#N/A;07/09/2007;Kiremt;Kiremt_2007;;1514,00;1514; ; ; ;0; ; 
 Oromiya; Arsi;Tena;040813;01/08/2010;Kiremt;Kiremt_2010;;4150,00;4150; ; ;206;16; ; 
 Amhara; South Welo;Legehida;030420;01/08/2010;Kiremt;Kiremt_2010;;366,00;366; ; ;713;0; ; 
 Oromiya; West Arsi;Shashemene Zuria;041712;01/08/2010;Kiremt;Kiremt_2010;;5000,00;5000; ; ;95;0; ; 
 Amhara; South Welo;Legehida;030420;01/08/2010;Kiremt;Kiremt_2010;;381,00;381; ; ;51;0; ; 
 Oromiya; West Arsi;Adaba;041710;01/08/2010;Kiremt;Kiremt_2010;;22000,00;22000; ; ;459;3;7700; 
 Oromiya; West Arsi;Dodola;041707;01/08/2010;Kiremt;Kiremt_2010;; ;; ; ;;10; ; 
 Oromiya; Arsi;Shirka;040814;01/08/2010;Kiremt;Kiremt_2010;;2500,00;2500; ; ;240;0;875; 
 Oromiya; Borena;Gelana;041217;01/04/2010;Belge;Belge_2010;;14000,00;14000; ; ;3173;0;988; 
 Oromiya; Bale;Lega hidha;#N/A;01/07/2010;Kiremt;Kiremt_2010;;4500,00;4500; ; ; ;0; ; 
 Amhara; North Gondar;Lay Armcho;#N/A;01/08/2004;Kiremt;Kiremt_2004;; ;; ; ;268;48; ; 
 SNNPR; Silte;Lanfuro;#N/A;07/09/2006;Kiremt;Kiremt_2006;;300,00;300; ; ; ;0; ; 
 Tigray; North Western Tigray;Kafta Humera;010501;01/06/2004;Belge;Belge_2004;; ;;2; ; ;0; ; 
 SNNPR; Silte;Lanfuro;#N/A;06/12/2006;Kiremt;Kiremt_2006;; ;; ; ;18.4;49;300;60
 SNNPR; Silte;Lanfuro;#N/A;01/05/2003;Belge;Belge_2003;; ;; ; ;128;333; ; 
 Tigray; South Tigray;Raya Azebo;010406;07/09/2007;Kiremt;Kiremt_2007;;87,00;87; ; ; ;0; ; 
 Tigray; South Tigray;Raya Azebo;010406;01/08/2006;Kiremt;Kiremt_2006;; ;; ; ; ;0; ;24
 Tigray; South Tigray;Raya Azebo;010406;01/09/2004;Kiremt;Kiremt_2004;;50,00;50; ; ; ;0; ; 
 Tigray; South Tigray;Raya Azebo;010406;01/09/2004;Kiremt;Kiremt_2004;;1875,00;1875; ; ;1087;0; ; 
 Tigray; South Tigray;Raya Azebo;010406;07/09/2001;Kiremt;Kiremt_2001;; ;; ; ;200;0; ; 
 Tigray; South Tigray;Ofla;010408;01/08/2004;Kiremt;Kiremt_2004;; ;; ; ;176;0; ; 
 SNNPR; South Omo; Kuraz (Dasenech) ;#N/A;07/09/2006;Kiremt;Kiremt_2006;;10000,00;10000;125; ; ;0; ; 
 Tigray; South Tigray;Alamata;010407;07/09/2007;Kiremt;Kiremt_2007;;1400,00;1400; ; ; ;0; ; 
 Tigray; South Tigray;Alamata;010407;01/09/2003;Kiremt;Kiremt_2003;; ;; ; ; ;0;2000; 
 Tigray; South Tigray;Alamata;010407;11/08/2001;Kiremt;Kiremt_2001;;1027,00;1027; ; ; ;0;162; 
 SNNPR; South Omo;Kuraz (Dasenech and Yangatom);#N/A;07/09/2006;Kiremt;Kiremt_2006;;15748,00;15748; ; ; ;0; ; 
 Tigray; West Tigray;Medebay Zana;010103;01/08/2004;Kiremt;Kiremt_2004;; ;; ; ;176;0; ; 
 SNNPR; South Omo;Kuraz (Dasenech and Yangatom);#N/A;06/12/2006;Kiremt;Kiremt_2006;;5000,00;5000; ; ;;96; ; 
 SNNPR; South Omo;Kuraz (Dasenech and Yangatom);#N/A;07/09/2005;Kiremt;Kiremt_2005;;5000,00;5000; ; ;;96; ; 
 Tigray; East Tigray;Hawzen;010305;01/08/2005;Kiremt;Kiremt_2005;;3400,00;3400; ; ;815;3; ; 
 SNNPR; South Omo;Kuraz (Dasenech and Yangatom);#N/A;07/09/2001;Kiremt;Kiremt_2001;; ;;6; ; ;0; ; 
 Tigray; Central Tigray;Laelay Maychew;010205;01/08/2004;Kiremt;Kiremt_2004;; ;;1; ;85;0; ;28
 Tigray; Central Tigray;Adwa;010204;01/08/2004;Kiremt;Kiremt_2004;; ;;4; ; ;0; ; 
 SNNPR; South Omo;Kuraz (Dasenech and Yangatom);#N/A;11/12/2001;Kiremt;Kiremt_2001;; ;; ; ;;53; ; 
 SNNPR; South Omo;Kuraz (Dasenech and Yangatom);#N/A;07/09/2001;Kiremt;Kiremt_2001;; ;;12; ; ;0; ; 
 SNNPR; South Omo;Kuraz (Dasenech and Yangatom);#N/A;07/09/2007;Kiremt;Kiremt_2007;;28000,00;28000; ; ; ;0; ; 
 Somali; Warder;Warder;050704;05/12/2005;Kiremt;Kiremt_2005;;8000,00;8000;1; ; ;0; ; 
 Somali; Shinile;Shinile;050103;07/09/2000;Kiremt;Kiremt_2000;; ;; ; ; ;0;1000; 
 Somali; Shinile;Erer;130105;07/09/2000;Kiremt;Kiremt_2000;; ;;5; ;377;300;1820; 
 Somali; Shinile;Ayisha;050101;06/12/2006;Kiremt;Kiremt_2006;;3000,00;3000; ; ;;500; ;19
 SNNPR; Konso Sp. Wer.;Konso Sp. Wer;#N/A;07/09/2005;Kiremt;Kiremt_2005;; ;; ; ;1600;0; ; 
 Somali; Liben;Filtu;050901;07/09/2005;Kiremt;Kiremt_2005;;6225,00;6225; ; ;;260; ; 
 Somali; Liben;Filtu;050901;07/09/2005;Kiremt;Kiremt_2005;;6225,00;6225;5; ;;818; ; 
 Somali; Liben;Filtu;050901;01/05/2002;Belge;Belge_2002;; ;; ; ; ;0;2500; 
 Somali; Liben;Dolo Odo;050902;30/11/2003;Kiremt;Kiremt_2003;;10000,00;10000; ; ; ;0; ; 
 Somali; Liben;Dolo Odo;050902;07/09/2005;Kiremt;Kiremt_2005;;46700,00;46700;6; ; ;0; ; 
 Somali; Liben;Dolo Odo;050902;05/12/2005;Kiremt;Kiremt_2005;; ;;6; ; ;0; ; 
 Somali; Liben;Dolo Odo;050902;07/09/2005;Kiremt;Kiremt_2005;;150000,00;150000;6; ;;259; ; 
 Somali; Kebridehar (Korahe);Kebridehar;050502;07/09/2005;Kiremt;Kiremt_2005;; ;;1; ; ;0; ;105
 Somali; Kebridehar (Korahe);Kebridehar;050502;07/09/2006;Kiremt;Kiremt_2006;;3500,00;3500;2; ; ;0; ;33
 Somali; Kebridehar (Korahe);Kebridehar;050502;05/12/2005;Kiremt;Kiremt_2005;;4800,00;4800;2; ;;2365; ; 
 Somali; Kebridehar (Korahe);Kebridehar;050502;07/09/2005;Kiremt;Kiremt_2005;; ;; ; ; ;0; ;200
 SNNPR; Konso Sp. Wer.;Konso Sp. Wer;#N/A;04/08/2005;Kiremt;Kiremt_2005;; ;;1; ;570;0; ; 
 SNNPR; Konso Sp. Wer.;Konso Sp. Wer;#N/A;04/08/2005;Kiremt;Kiremt_2005;; ;;1; ; ;0; ;2
 SNNPR; Konso Sp. Wer.;Konso Sp. Wer;#N/A;07/09/2005;Kiremt;Kiremt_2005;; ;; ; ;1600;0; ; 
 Somali; Jijiga;Jijiga;050204;25/04/2005;Belge;Belge_2005;; ;; ; ; ;0; ;200
 Amhara; South Welo;Kombolcha /Town/;#N/A;07/09/2006;Kiremt;Kiremt_2006;;18,00;18; ; ;44.5;54;27; 
 Somali; Jijiga;Gursum;041003;07/09/2005;Kiremt;Kiremt_2005;;550,00;550;4; ;;900; ; 
 Somali; Gode;Mustahil;050606;06/12/2006;Kiremt;Kiremt_2006;;361600,00;361600;80; ; ;0; ; 
 Somali; Gode;Mustahil;050606;07/09/2003;Kiremt;Kiremt_2003;;91050,00;91050;64; ;;5900;6350;880
 Somali; Gode;Mustahil;050606;07/09/2003;Kiremt;Kiremt_2003;;100000,00;100000;64; ; ;0; ; 
 Somali; Gode;Mustahil;050606;08/08/2007;Kiremt;Kiremt_2007;;32000,00;32000;2;4;4770;361;32000; 
 Somali; Gode;Mustahil;050606;07/09/2006;Kiremt;Kiremt_2006;; ;; ; ; ;0; ;300
 Somali; Gode;Mustahil;050606;07/09/2006;Kiremt;Kiremt_2006;;74000,00;74000;4;8; ;0; ; 
 Somali; Gode;Mustahil;050606;07/09/2005;Kiremt;Kiremt_2005;; ;;4; ; ;0; ;300
 Somali; Gode;Mustahil;050606;07/09/2005;Kiremt;Kiremt_2005;;16449,00;16449;14; ;5400;4534; ; 
 Somali; Gode;Kelafo;050605;05/12/2005;Kiremt;Kiremt_2005;;40000,00;40000;66; ; ;0; ; 
 Somali; Gode;Kelafo;050605;07/09/2003;Kiremt;Kiremt_2003;;110000,00;110000; ; ; ;0; ; 
 Somali; Gode;Kelafo;050605;07/09/2006;Kiremt;Kiremt_2006;; ;; ; ; ;0; ;108
 Somali; Gode;Kelafo;050605;07/09/2006;Kiremt;Kiremt_2006;;88540,00;88540;29;2; ;0; ; 
 Somali; Gode;Kelafo;050605;07/09/2006;Kiremt;Kiremt_2006;; ;;2;1;3200;392;8539; 
 Somali; Gode;Kelafo;050605;07/09/2005;Kiremt;Kiremt_2005;;9574,00;9574;29; ;5969;23440; ;34
