ID,Country,station,location,lon,lat,Q50,Q80,Q90
G1017,Mali,G1017,Dibia,-10.75,13.25,1065.7521362304688,1493.165869140625,1536.6110351562502
G1023,Mali,G1023,Koulikoro,-7.55,12.85,6850.0361328125,9647.5298828125,10769.633300781252
G1029,Mali,G1029,Dioila,-6.65,12.55,980.23828125,1715.9530517578125,1818.7974975585942
G1034,Mali,G1034,Bafing Makana,-10.35,12.35,1792.1841430664062,2485.5357910156254,2686.2913330078127
G1037,Mali,G1037,Daka Saydou,-10.75,11.75,1473.516845703125,2202.736328125,2487.5853759765623
G1040,Mali,G1040,Kouoro 2,-5.65,11.95,454.07530212402344,820.2894287109377,1250.14754638672
G1041,Mali,G1041,Gouala,-8.25,11.95,1889.829345703125,2812.022314453125,2916.0647705078127
G1046,Mali,G1046,Banankoro,-8.65,11.65,5541.6328125,7235.679980468751,7451.090234375
G1048,Mali,G1048,Selingue,-8.15,11.85,1888.4090576171875,2807.7146484375,2900.674853515625
G1049,Mali,G1049,Pankourou,-6.55,11.35,1150.5578002929688,1995.89169921875,2232.443017578126
G1050,Mali,G1050,Bougouni,-7.35,11.45,626.0597534179688,1112.3490234375001,1343.666442871094
G1784,Mali,G1784,Na,-3.45,16.15,6749.733642578125,9707.903906250001,10529.744921875
G1785,Mali,G1785,Na,-0.25,16.65,6426.053466796875,9357.4943359375,9983.76611328125
G1786,Mali,G1786,Na,-6.45,13.35,6331.0068359375,9070.717968750001,9861.481933593752
G4726,Mali,G4726,Na,-3.45,19.45,5.454907977764378e-06,1.1657071991066915e-05,3.724223970493771e-05
G4729,Mali,G4729,Na,-3.25,19.35,1.3126673081842455e-07,1.6202311599045062e-07,3.8447049348633407e-07
G4730,Mali,G4730,Na,-3.05,19.35,2.5978581952301738e-08,3.71710626723143e-08,6.39446383843279e-08
G4731,Mali,G4731,Na,-3.75,19.25,1.3282183886076382e-07,2.63089430063701e-07,4.680199509721222e-07
G4732,Mali,G4732,Na,-3.55,19.25,1.537785809802017e-08,3.04466311717988e-08,5.412257664261252e-08
G4733,Mali,G4733,Na,-3.75,19.15,4.0761362924968125e-06,1.16276585686137e-05,3.404806811886375e-05
G4734,Mali,G4734,Na,0.55,19.15,1.4689506770082517e-05,2.5236296642106035e-05,3.795312732108869e-05
G4740,Mali,G4740,Na,0.45,19.05,1.3152427527529653e-05,2.2683195857098327e-05,2.5600175104045794e-05
G4782,Mali,G4782,Na,0.45,18.05,1.3921148365625413e-05,2.812551829265432e-05,5.4279566029435996e-05
G4791,Mali,G4791,Na,0.55,17.95,0.06020511873066425,0.10448790639638902,0.1545964166522031
G4816,Mali,G4816,Na,4.15,17.35,4.9822241635411046e-05,0.00025440785102546267,0.000721870054258034
G4817,Mali,G4817,Na,4.25,17.35,4.9822241635411046e-05,0.00025440785102546267,0.000721870054258034
G4829,Mali,G4829,Na,-1.45,16.95,6532.20849609375,9447.66796875,10124.976953125
G4830,Mali,G4830,Na,-1.35,16.95,0.00020061045506736264,0.0003693403326906264,0.007581629976630238
G4842,Mali,G4842,Na,-4.95,16.65,5.610797961708158e-05,9.136837179539725e-05,9.88544634310529e-05
G4845,Mali,G4845,Na,-5.05,16.55,2.432549490549718e-05,0.0008382597006857423,0.33662918098271294
G4850,Mali,G4850,Na,0.05,16.45,0.11188127100467682,0.13951942920684815,0.2338537335395818
G4851,Mali,G4851,Na,0.15,16.45,0.003843500278890133,0.004811512771993876,0.008088397467508932
G4857,Mali,G4857,Na,-0.05,16.35,6402.444091796875,9338.5349609375,9956.004492187501
G4859,Mali,G4859,Na,0.05,16.25,5.970283893930173e-07,2.316748395969626e-06,0.00010967988237098452
G4872,Mali,G4872,Na,-4.55,15.65,14.319611549377441,28.190930938720705,41.19522247314457
G4880,Mali,G4880,Na,-12.15,14.75,3022.350341796875,6311.30947265625,8418.9544921875
G4881,Mali,G4881,Na,-11.95,14.75,92.15937423706055,251.6355529785157,1509.764099121094
G4883,Mali,G4883,Na,-11.95,14.65,2942.82275390625,5701.265527343751,8241.92431640625
G4886,Mali,G4886,Na,-8.85,14.45,150.37933349609375,913.6069091796878,1208.58955078125
G4890,Mali,G4890,Na,-8.85,14.35,237.69475555419922,613.2938842773438,693.8694458007816
G4930,Mali,G4930,Na,-6.45,12.65,346.94187927246094,593.2992309570313,934.843505859376
F0001,Mali,F0001,Guelelinkoro,-8.550000191,11.14999962,2207.2965087890625,2861.4786132812505,3090.7227050781253
F0002,Mali,F0002,Banankoro,-8.649999618999999,11.64999962,5541.6328125,7235.679980468751,7451.090234375
F0003,Mali,F0003,Bamako,-8.050000191,12.55000019,6799.453857421875,9645.467968750001,10713.278808593752
F0004,Mali,F0004,Koulikoro,-7.5500001910000005,12.85000038,6850.0361328125,9647.5298828125,10769.633300781252
F0005,Mali,F0005,Mopti,-4.150000095,14.55000019,7605.83349609375,10373.591796875,11378.82373046875
F0006,Mali,F0006,Dire,-3.349999905,16.25,6734.64013671875,9691.016015625,10486.636328125
F0007,Mali,F0007,Gao,-0.050000000999999995,16.25,6370.640625,9317.296484375,9930.247460937499
F0008,Mali,F0008,Sofara,-4.25,14.05000019,2082.292724609375,2995.1829589843755,4242.54580078125
F0009,Mali,F0009,Douna,-5.9499998089999995,13.14999962,2344.01025390625,3478.5138671875,4594.272265625001
F0010,Mali,F0010,Bougouni,-7.4499998089999995,11.35000038,625.1935119628906,1110.984423828125,1322.2486083984377
F0011,Mali,F0011,Pankourou,-6.5500001910000005,11.44999981,1178.365234375,1954.086083984375,2186.4123779296883
F0012,Mali,F0012,Kayes,-11.35000038,14.35000038,2690.8792724609375,4752.9307617187515,7328.811083984376
F0013,Mali,F0013,BafingMakana,-10.35000038,12.44999981,1790.503173828125,2477.946044921875,2655.3021240234375
