ID,Provider_1,ProvID_1,Provider_2,ProvID_2,Stationnam,RiverName,RiverBasin,Country,CountryNam,Continent,HydroRegio,DrainArPro,DrainArLDD,YProvided,XProvided,YCorrected,XCorrected,ToCalibrat,ValidGLOFA,Legend_for,Comments,StartDate,EndDate,AddedDate,Lake,Reservoir,Lastupdate,CalibYear,ExtractGroup
G1003,GRDC,1112300,NA,NA,Galougo,Senegal,Senegal,ML,Mali,Africa,44,127000,141689,13.83,-11.13,13.85,-10.85,1,0, ,[NV] Exclude?.  Too many gaps,01/01/1981,12/31/1990, ,0,0,,0,AF_20190502
G1004,GRDC,1234130,DIST,1,Garbé Kourou,Sirba,Niger,NE,Niger,Africa,44,38750,38917,13.7333,1.6167,13.65,1.45,1,1, ,Data after 6/15/1956 comes from prov 2 DIST Revised historical series (ANADIA2 project),6/30/1956,9/30/2018, ,0,0,10/03/2018,0,AF_20190502
G1005,GRDC,1134250,NA,NA,Kirango Aval,Niger,Niger,ML,Mali,Africa,44,137000,133338,13.7167,-6.05,13.75,-6.05,1,1, , ,01/01/1925,4/30/2001, ,0,0,,0,AF_20190502
G1007,GRDC,1234150,DIST,NA,Niamey,Niger,Niger,NE,Niger,Africa,44,700000,686808,13.52,2.08,13.55,2.05,1,1, ,data after 1984 to From DGRE (Dir. Générale des Ressources en Eau),01/01/1929,09/02/2018, ,0,0,10/03/2018,2017,AF_20190502
G1008,GRDC,1813200,NA,NA,Gouloumbou,Gambia,Gambia,SN,Senegal,Africa,44,42000,42346,13.47,-13.73,13.45,-13.75,1,1, , ,05/01/1979,4/20/1989, ,0,0,,0,AF_20190502
G1009,GRDC,1112340,NA,NA,Toukoto,Bakoye,Senegal,ML,Mali,Africa,44,16000,16370,13.45,-9.88,13.35,-9.75,0,0, ,[NV] Exclude?. Too many gaps,06/09/1987,12/31/1990, ,0,0,,0,AF_20190502
G1010,GRDC,1134450,NA,NA,Beneny Kegny,Bani,Niger,ML,Mali,Africa,44,116000,113481,13.38,-4.92,13.35,-4.95,1,0, ,[NV] Exclude?. Too many gaps,7/21/1951,12/31/1992, ,0,0,,0,AF_20190502
G1011,GRDC,1112320,NA,NA,Oualia,Bakoye,Senegal,ML,Mali,Africa,44,84400,91284,13.36,-9.23,13.55,-9.95,0,0, ,[NV] Exclude?. Too many gaps,6/18/1981,12/31/1990, ,0,0,,0,AF_20190502
G1012,GRDC,1813460,NA,NA,Wassadou Amont,Gambia,Gambia,SN,Senegal,Africa,44,21200,20965,13.35,-13.37,13.25,-13.35,1,1, , ,6/21/1979,4/29/1989, ,0,0,,0,AF_20190502
G1013,GRDC,1813450,NA,NA,Wassadou Aval,Gambia,Gambia,SN,Senegal,Africa,44,33500,33507,13.35,-13.38,13.25,-13.55,1,1, , ,06/12/1979,4/30/1989, ,0,0,,0,AF_20190502
G1014,GRDC,1112330,NA,NA,Siramakana,Baoule (Trib. Atui Senegal),Senegal,ML,Mali,Africa,44,58000,60549,13.34,-9.53,14.25,-9.05,0,1, ,old data,05/06/1981,12/31/1990, ,0,0,,0,AF_20190502
G1015,GRDC,1112200,NA,NA,Gourbassy,Faleme,Senegal,ML,Mali,Africa,44,15000,14911,13.23,-11.38,13.15,-11.55,1,0, ,[NV] Exclude?. Too many gaps,02/01/1981,12/31/1990, ,0,0,,0,AF_20190502
G1016,GRDC,1134300,NA,NA,Douna,Bani,Niger,ML,Mali,Africa,44,101600,102344,13.2167,-5.9,13.25,-5.85,1,1, , ,05/01/1922,4/30/2001, ,0,0,,2017,AF_20190502
G1017,GRDC,1112350,NA,NA,Dibia,Bafing,Senegal,ML,Mali,Africa,44,33000,34612,13.14,-10.48,13.25,-10.75,1,0, ,[NV] Exclude?. Too many gaps,01/01/1981,12/31/1990, ,0,575,,0,AF_20190502
G1018,GRDC,1813500,NA,NA,Simenti,Gambia,Gambia,SN,Senegal,Africa,44,20500,20361,13.03,-13.3,13.05,-13.35,1,1, , ,6/22/1979,2/27/1989, ,0,0,,0,AF_20190502
G1019,GRDC,1837106,NA,NA,Geidam,Yobe,Lake Chad,NG,Nigeria,Africa,43,67340,67412,12.9899,11.9705,13.05,11.65,1,1, , ,6/20/1958,12/31/2005, ,0,0,,0,AF_20190502
G1020,GRDC,1234180,NA,NA,Diongore Amont,Goroubi,Niger,NE,Niger,Africa,44,15350,15498,12.96,2.32,12.95,2.15,1,1, , ,08/09/1962,4/30/1988, ,0,0,,0,AF_20190502
G1022,GRDC,1813700,NA,NA,Mako,Gambia,Gambia,SN,Senegal,Africa,44,10450,10558,12.87,-12.35,12.75,-12.45,1,1, , ,6/23/1979,4/14/1989, ,0,0,,0,AF_20190502
G1023,GRDC,1134100,NA,NA,Koulikoro,Niger,Niger,ML,Mali,Africa,44,120000,119316,12.8667,-7.55,12.85,-7.55,1,1, , ,01/01/1914,1/31/2006, ,0,0,,2017,AF_20190502
G1024,GRDC,1837107,NA,NA,Gashua,Yobe,Lake Chad,NG,Nigeria,Africa,43,62150,57501,12.8619,11.0454,12.85,11.85,0,1, , ,6/15/1962,11/14/2005, ,0,0,,2017,AF_20190502
G1026,GRDC,1837561,NA,NA,Kasaga,Marma Channel,Lake Chad,NG,Nigeria,Africa,43,-9999,32546,12.8042,10.3861,12.85,10.35,1,1, , ,09/01/1995,5/31/1998, ,0,0,,0,AF_20190502
G1027,GRDC,1837560,NA,NA,Likori,Marma Channel,Lake Chad,NG,Nigeria,Africa,43,-9999,22735,12.6365,10.3039,12.55,10.35,1,1, ,[NV] steep increase of flow july 2 1998. timeseries looks smoother  before 1990.,07/01/1973,07/09/2004, ,0,0,,2017,AF_20190502
G1028,GRDC,1234201,NA,NA,W,Niger,Niger,NE,Niger,Africa,44,-9999,735590,12.5833,2.6167,12.55,2.65,1,1, , ,06/02/1985,7/30/2002, ,0,0,,2017,AF_20190502
G1029,GRDC,1134200,NA,NA,Dioila,Baoule (Trib. Niger),Niger,ML,Mali,Africa,44,32500,31891,12.52,-6.8,12.55,-6.65,1,0, ,[NV] Exclude?. Too many gaps,05/10/1953,12/31/1992, ,0,0,,0,AF_20190502
G1031,GRDC,1837200,NA,NA,Dapchi,Komadugu Gana,Lake Chad,NG,Nigeria,Africa,43,14504,14838,12.4935,11.5072,12.65,11.75,0,1, , ,09/10/1963,10/31/2005, ,0,0,,0,AF_20190502
G1032,GRDC,1837401,NA,NA,Hadejia,Hadejia,Lake Chad,NG,Nigeria,Africa,43,30435,22250,12.4406,10.0309,12.45,10.05,1,1, , ,08/03/1963,04/08/2006, ,0,0,,2017,AF_20190502
G1034,GRDC,1112500,NA,NA,Bafing Makana,Bafing,Senegal,ML,Mali,Africa,44,21700,21658,12.33,-10.16,12.35,-10.35,1,0, ,[NV] Exclude?. Too many gaps,01/01/1981,12/31/1990, ,0,0,,0,AF_20190502
G1035,GRDC,1837250,NA,NA,Katagum,Jama'are,Lake Chad,NG,Nigeria,Africa,43,15000,14132,12.2809,10.3677,12.25,10.35,1,1, , ,07/01/1975,11/10/1998, ,0,0,,0,AF_20190502
G1036,GRDC,1837420,NA,NA,Kafin Hausa,Kafin Hausa,Lake Chad,NG,Nigeria,Africa,43,-9999,22129,12.2607,9.9183,12.35,9.95,0,1, , ,8/20/1973,1/30/2006, ,0,0,,0,AF_20190502
G1037,GRDC,1112480,NA,NA,Daka Saydou,Bafing,Senegal,ML,Mali,Africa,44,15500,15710,12.15,-10.2,11.75,-10.75,1,0, ,[NV] Exclude?. Too many gaps,01/01/1981,12/31/1990, ,0,0,,0,AF_20190502
G1038,GRDC,1537100,NA,NA,Ndjamena Fort Lamy,Chari,Lake Chad,TD,Chad,Africa,43,600000,606645,12.12,15.03,12.05,15.05,1,1, , ,05/01/1976,6/30/1991, ,0,0,,0,AF_20190502
G1039,GRDC,1537120,NA,NA,Chagoua,Chari,Lake Chad,TD,Chad,Africa,43,-9999,606645,12.05,15.05,12.05,15.05,1,0, ,[NV] Duplicate,05/01/1983,4/30/1986, ,0,0,,0,AF_20190502
G1040,GRDC,1134310,NA,NA,Kouoro 2,Banifing,Niger,ML,Mali,Africa,44,14300,14584,12.02,-6.68,11.95,-5.65,1,0, ,[NV] Exclude?. Too many gaps,6/19/1975,12/31/1990, ,0,0,,0,AF_20190502
G1041,GRDC,1134040,NA,NA,Gouala,Sankarani,Niger,ML,Mali,Africa,44,35300,33713,11.97,-8.23,11.95,-8.25,1,0, ,[NV] Exclude?. Too many gaps,3/18/1954,12/31/1990, ,0,0,,0,AF_20190502
G1042,GRDC,1734500,DIST,NA,Malanville,Niger,Niger,BJ,Benin,Africa,44,1000000,1300460,11.8667,3.3833,11.85,3.35,1,1, ,data after  1/1/1980 from Dist From ABN (Niger Basin Authority) Database,6/23/1952,9/14/2018, ,0,0,10/03/2018,0,AF_20190502
G1043,GRDC,1837410,NA,NA,Wudil,Hadejia,Lake Chad,NG,Nigeria,Africa,43,16380,16420,11.7971,8.8341,11.75,8.75,1,1, , ,06/01/1963,1/31/2005, ,0,0,,0,AF_20190502
G1044,GRDC,1734600,NA,NA,Couberi,Sota,Niger,BJ,Benin,Africa,44,13410,13410,11.75,3.33,11.75,3.35,1,1, , ,5/20/1953,12/31/1992, ,0,0,,0,AF_20190502
G1045,GRDC,1577603,NA,NA,Tendaho,Awash,Na,ET,Ethiopia,Africa,44,62088,62930,11.6833,40.95,11.75,40.95,1,1, , ,01/01/1990,9/18/2004, ,0,0,,2017,AF_20190502
G1046,GRDC,1134030,NA,NA,Banankoro,Niger,Niger,ML,Mali,Africa,44,71750,71518,11.6833,-8.6667,11.65,-8.65,1,1, , ,09/01/1967,4/29/2001, ,0,0,,0,AF_20190502
G1047,GRDC,1537130,NA,NA,Mailao,Chari,Lake Chad,TD,Chad,Africa,43,500000,500201,11.58,15.28,10.85,15.75,1,1, , ,05/01/1983,4/30/1986, ,0,0,,0,AF_20190502
G1048,GRDC,1134050,NA,NA,Selingue,Sankarani,Niger,ML,Mali,Africa,44,34200,33227,11.58,-8.17,11.85,-8.15,1,0, ,[NV] Exclude?. Too many gaps,06/06/1964,12/31/1992, ,0,341,,0,AF_20190502
G1049,GRDC,1134220,NA,NA,Pankourou,Bagoe,Niger,ML,Mali,Africa,44,31800,31482,11.42,-6.57,11.35,-6.55,1,0, ,[NV] Exclude?. Too many gaps,03/08/1956,12/31/1992, ,0,0,,0,AF_20190502
G1050,GRDC,1134110,NA,NA,Bougouni,Baoule (Trib. Niger),Niger,ML,Mali,Africa,44,15700,14890,11.4,-7.45,11.45,-7.35,1,0, ,[NV] Exclude?. Too many gaps,03/09/1956,12/31/1992, ,0,0,,0,AF_20190502
G1051,GRDC,1834110,NA,NA,Yidere Bode,Niger,Niger,NG,Nigeria,Africa,44,-9999,1565480,11.3833,4.1333,11.35,4.15,1,1, , ,01/01/1984,11/29/2002, ,0,0,,2017,AF_20190502
G1053,GRDC,1577602,NA,NA,Adaitu,Awash,Na,ET,Ethiopia,Africa,44,52835,51380,11.1333,40.7833,11.35,40.95,1,1, , ,5/13/1990,5/29/2004, ,0,0,,2017,AF_20190502
G1055,GRDC,1531600,NA,NA,Yarugu,White Volta,Volta,GH,Ghana,Africa,44,41550,42282,10.98,-0.4,11.05,-0.35,1,1, , ,01/04/1975,2/28/2007, ,0,0,,2017,AF_20190502
G1056,GRDC,1531650,NA,NA,Nangodi,Volta Rouge,Volta,GH,Ghana,Africa,44,11570,11546,10.8667,-0.6167,10.65,-0.55,1,1, , ,07/10/1975,2/28/2007, ,0,0,,0,AF_20190502
G1057,GRDC,1634400,NA,NA,Kouroussa,Niger,Niger,GN,Guinea,Africa,44,18000,17346,10.65,-9.8667,10.65,-9.85,1,1, , ,08/01/1923,11/21/2002, ,0,0,,2017,AF_20190502
G1058,GRDC,1531050,NA,NA,Lawra,Black Volta,Volta,GH,Ghana,Africa,44,93820,86730,10.6333,-2.9167,10.75,-2.95,1,1, , ,01/01/1975,2/28/2007, ,0,0,,2017,AF_20190502
G1059,GRDC,1531550,NA,NA,Pwalagu,White Volta,Volta,GH,Ghana,Africa,44,63350,58339,10.5833,-0.85,10.55,-0.85,1,1, , ,06/04/1975,2/28/2007, ,0,0,,2017,AF_20190502
G1060,GRDC,1537150,NA,NA,Bongor,Logone,Lake Chad,TD,Chad,Africa,43,73700,73897,10.27,15.42,10.85,15.05,1,1, , ,06/03/1983,4/30/1986, ,0,0,,0,AF_20190502
G1061,GRDC,1531420,NA,NA,Yagaba,Kulpawn,Volta,GH,Ghana,Africa,44,10600,10133,10.23,-1.2833,10.25,-1.35,1,1, , ,6/20/1975,2/28/2007, ,0,0,,2017,AF_20190502
G1062,GRDC,1731400,NA,NA,Porga,Pendjari,Volta,BJ,Benin,Africa,44,22280,22873,10.2,0.97,11.05,1.05,1,1, , ,06/12/1952,12/31/1992, ,0,0,,0,AF_20190502
G1063,GRDC,1434820,NA,NA,Kouto Amont,Bagoe,Niger,CI,Cote d'Ivoire,Africa,44,-9999,4771,9.8833,-6.3667,9.85,-6.35,1,1, , ,01/01/1970,5/31/2001, ,0,0,,0,AF_20190502
G1064,GRDC,1531450,NA,NA,Nawuni,White Volta,Volta,GH,Ghana,Africa,44,92950,93343,9.7,-1.08,9.75,-0.95,1,1, , ,01/01/1975,2/28/2007, ,0,0,,2017,AF_20190502
G1065,GRDC,1428200,NA,NA,Kafolo,Comoe,Comoe,CI,Cote d'Ivoire,Africa,44,21300,21614,9.59,-4.29,9.55,-4.25,1,0, ,[NV] Exclude?. Too many gaps,01/01/1979,12/31/1993, ,0,0,,0,AF_20190502
G1066,GRDC,1537200,NA,NA,Lai,Logone,Lake Chad,TD,Chad,Africa,43,56700,56408,9.4,16.3,9.15,16.45,1,1, , ,05/01/1983,4/30/1986, ,0,0,,0,AF_20190502
G1067,GRDC,1577601,NA,NA,Melka Sedi,Awash,Na,ET,Ethiopia,Africa,44,21520,21582,9.39,40.13,9.15,40.15,1,1, , ,01/01/1990,6/26/2009, ,0,0,,2017,AF_20190502
G1068,GRDC,1531800,NA,NA,Sabari,Oti,Volta,GH,Ghana,Africa,44,58670,60465,9.28,0.23,9.25,0.25,1,1, , ,08/01/1995,2/28/2007, ,0,0,,2017,AF_20190502
G1070,GRDC,1733100,NA,NA,Pont De Beterou,Oueme,Oueme,BJ,Benin,Africa,44,10326,10151,9.2,2.67,9.15,2.25,1,1, , ,6/27/1952,10/15/1992, ,0,0,,0,AF_20190502
G1071,GRDC,1431300,NA,NA,Vonkoro,Black Volta,Volta,CI,Cote d'Ivoire,Africa,44,111500,112832,9.19,-2.71,9.95,-2.75,1,0, ,[NV] Exclude?. Too many gaps,01/01/1979,12/31/1993, ,0,0,,0,AF_20190502
G1072,GRDC,1537500,NA,NA,Sarh Fort Archambault,Chari,Lake Chad,TD,Chad,Africa,43,193000,202322,9.15,18.42,8.85,18.85,1,1, , ,09/01/1983,4/30/1986, ,0,0,,0,AF_20190502
G1073,GRDC,1537480,NA,NA,Manda,Ouham,Lake Chad,TD,Chad,Africa,43,80000,80601,9.08,18.2,8.95,17.95,1,1, , ,05/01/1983,4/30/1986, ,0,0,,0,AF_20190502
G1074,GRDC,1577102,NA,NA,Metahara,Awash,Na,ET,Ethiopia,Africa,44,16416,16556,8.85,39.85,8.85,39.95,1,1, , ,01/01/1982,12/31/2009, ,0,0,,2017,AF_20190502
G1076,GRDC,1427200,NA,NA,Dabala,Sassandra,Sassandra,CI,Cote d'Ivoire,Africa,44,16800,16672,8.4,-7.13,8.45,-7.15,1,0, ,[NV] Exclude?.  Too many gaps,01/01/1979,12/31/1993, ,0,0,,0,AF_20190502
G1077,GRDC,1835900,NA,NA,Ibi,Benue,Niger,NG,Nigeria,Africa,44,-9999,261126,8.2,9.7333,8.15,9.75,1,1, , ,01/01/1970,10/30/2002, ,0,0,,0,AF_20190502
G1078,GRDC,1531100,NA,NA,Bamboi,Black Volta,Volta,GH,Ghana,Africa,44,134200,140787,8.15,-2.0333,8.15,-2.05,1,1, , ,01/09/1975,2/28/2007, ,0,409,,2017,AF_20190502
G1081,GRDC,1733300,NA,NA,Pont De Save,Oueme,Oueme,BJ,Benin,Africa,44,23600,23268,8,2.42,8.05,2.35,1,1, , ,07/01/1951,10/15/1992, ,0,0,,0,AF_20190502
G1082,GRDC,1428300,NA,NA,Serebou,Comoe,Comoe,CI,Cote d'Ivoire,Africa,44,48700,48687,7.95,-3.94,8.05,-4.05,1,0, ,[NV] Exclude?. Too many gaps,01/01/1979,12/31/1993, ,0,0,,0,AF_20190502
G1083,GRDC,1834101,NA,NA,Lokoja,Niger,Niger,NG,Nigeria,Africa,44,-9999,2094830,7.8,6.7667,7.75,6.75,1,1, , ,01/01/1970,03/01/2006, ,0,0,,2017,AF_20190502
G1084,GRDC,1426260,NA,NA,Fetekro,Nzi,Bandama,CI,Cote d'Ivoire,Africa,44,10300,10427,7.77,-4.68,7.85,-4.75,1,0, ,[NV] Exclude?.  Too many gaps,4/17/1979,12/31/1993, ,0,0,,0,AF_20190502
G1085,GRDC,1427350,NA,NA,Semien,Sassandra,Sassandra,CI,Cote d'Ivoire,Africa,44,28800,30057,7.69,-7.06,7.75,-7.05,1,0, ,[NV] Exclude?.  Too many gaps,01/01/1979,12/31/1993, ,0,0,,0,AF_20190502
G1086,GRDC,1737210,NA,NA,Batangafo,Ouham,Lake Chad,CF,Central African Republic,Africa,43,44700,44355,7.3,18.28,7.45,18.15,1,0, ,[NV] Exclude?.  Too many gaps,04/01/1987,3/31/1994, ,0,0,,0,AF_20190502
G1087,GRDC,1733500,NA,NA,Sagon,Oueme,Oueme,BJ,Benin,Africa,44,37980,37858,7.17,2.43,7.25,2.45,1,1, , ,3/16/1951,9/30/1984, ,0,0,,0,AF_20190502
G1088,GRDC,1426300,NA,NA,Bouafle,Bandama Rouge,Bandama,CI,Cote d'Ivoire,Africa,44,19800,19391,6.96,-5.76,7.15,-5.95,0,0, ,[NV] Exclude?.  Too many gaps,01/01/1979,12/31/1993, ,0,0,,0,AF_20190502
G1089,GRDC,1732100,NA,NA,Athieme,Mono,Mono,TG,Togo,Africa,44,21575,21614,6.92,1.67,6.85,1.55,1,1, , ,07/01/1944,11/03/2007, ,0,0,,2017,AF_20190502
G1090,GRDC,1733600,NA,NA,Bonou,Oueme,Oueme,BJ,Benin,Africa,44,46990,47935,6.9,2.45,6.95,2.45,1,1, , ,07/04/1948,12/31/2007, ,0,0,,2017,AF_20190502
G1091,GRDC,1428400,NA,NA,Aniassue,Comoe,Comoe,CI,Cote d'Ivoire,Africa,44,67400,67615,6.62,-3.72,6.95,-3.75,1,1, , ,01/01/1979,12/31/1994, ,0,0,,0,AF_20190502
G1092,GRDC,1737100,NA,NA,Bac Bea,Ouham,Lake Chad,CF,Central African Republic,Africa,43,13350,13308,6.48,17.08,6.45,16.85,1,1, , ,05/01/1986,9/29/1992, ,0,0,,0,AF_20190502
G1093,GRDC,1737150,NA,NA,Bossangoa,Ouham,Lake Chad,CF,Central African Republic,Africa,43,22800,22677,6.47,17.45,6.45,17.45,1,1, , ,04/01/1986,3/31/1992, ,0,0,,0,AF_20190502
G1097,GRDC,1428500,NA,NA,Mbasso,Comoe,Comoe,CI,Cote d'Ivoire,Africa,44,69900,71678,6.29,-3.49,6.35,-3.55,1,1, , ,01/01/1970,12/31/1996, ,0,0,,0,AF_20190502
G1098,GRDC,1426200,NA,NA,Bafecao,Bandama,Bandama,CI,Cote d'Ivoire,Africa,44,59500,59873,6.06,-4.49,6.35,-5.25,1,0, ,[NV] Exclude?. Too many gaps,01/01/1979,12/31/1993, ,0,0,,0,AF_20190502
G1099,GRDC,1426350,NA,NA,Zienoa,Nzi,Bandama,CI,Cote d'Ivoire,Africa,44,35000,34540,6,-4.82,6.15,-4.75,0,1, ,old data,4/27/1979,12/31/1993, ,0,0,,0,AF_20190502
G1103,GRDC,1426380,NA,NA,Tiassale,Bandama,Bandama,CI,Cote d'Ivoire,Africa,44,95500,97248,5.88,-4.75,5.85,-4.85,1,1, , ,01/01/1970,12/31/1996, ,0,0,,0,AF_20190502
G1106,GRDC,1427500,NA,NA,Soubre,Sassandra,Sassandra,CI,Cote d'Ivoire,Africa,44,62000,63782,5.76,-6.6,5.75,-6.65,1,1, , ,01/01/1970,12/31/1996, ,0,0,,0,AF_20190502
G1108,GRDC,1526300,NA,NA,Daboasi,Pra,Pra,GH,Ghana,Africa,44,22714,23290,5.1667,-1.6333,5.15,-1.65,1,1, , ,01/01/1979,12/31/2006, ,0,0,,2017,AF_20190502
G1109,GRDC,1749600,NA,NA,Zemio,Mbomou,Congo,CF,Central African Republic,Africa,45,29300,28257,5.03,25.15,5.05,25.15,1,1, , ,04/01/1986,3/30/1994, ,0,0,,0,AF_20190502
G1111,GRDC,1749510,NA,NA,Loungoumba,Mbari,Congo,CF,Central African Republic,Africa,45,23300,24172,4.73,22.68,4.75,22.65,1,1, , ,04/01/1987,3/31/1994, ,0,0,,0,AF_20190502
G1112,GRDC,1749500,NA,NA,Bangassou,Mbomou,Congo,CF,Central African Republic,Africa,45,115000,114740,4.72,22.82,4.75,23.65,1,1, , ,05/01/1986,3/31/1994, ,0,0,,0,AF_20190502
G1113,GRDC,1749080,NA,NA,Bossele Bali,Mpoko,Congo,CF,Central African Republic,Africa,45,10800,11104,4.53,18.47,4.55,18.45,1,1, , ,04/01/1985,3/30/1994, ,0,0,,0,AF_20190502
G1114,GRDC,1425500,NA,NA,Tate,Cavally,Cavally,CI,Cote d'Ivoire,Africa,45,28800,29588,4.38,-7.59,4.45,-7.55,1,1, , ,01/01/1970,12/31/1996, ,0,0,,0,AF_20190502
G1115,GRDC,1749100,NA,NA,Bangui,Ubangi,Congo,CF,Central African Republic,Africa,45,500000,495752,4.37,18.58,4.35,18.65,1,1, , ,03/01/1935,12/30/2007, ,0,0,,2017,AF_20190502
G1117,GRDC,1749050,NA,NA,M Bata,Lobaye,Congo,CF,Central African Republic,Africa,45,31000,30998,3.67,18.3,3.65,18.25,1,1, , ,05/01/1986,3/31/1994, ,0,0,,0,AF_20190502
G1122,GRDC,1748500,NA,NA,Salo,Sangha,Congo,CF,Central African Republic,Africa,45,68300,70875,3.18,16.12,3.45,16.05,1,1, , ,04/01/1985,3/31/1994, ,0,0,,0,AF_20190502
G1180,GRDC,1147010,NA,NA,Kinshasa,Congo,Congo,CD,Congo,Africa,45,3475000,3618130,-4.3,15.3,-4.05,15.65,1,1, , ,01/01/1914,12/31/2010, ,0,0,,2017,AF_20190502
