County;sub_county;ward;Location;Sub_Location;other;scene;people_dead;people_injured;house_destroyed;house_damaged;household_displaced;people_displaced;services.disrupted;roads;livestock_lost;bridge;schools;latrine;wall;hospitals;drainage;inst.church.mosque;health_center;lost_crops_ha (acreage);cholera_outbreak;cholera.cases;situation;data_source;dref no;glidenumber;ID;data_quality;magnitude_impact;date_recorded
Nairobi;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;1030;1;1;2002/05/14 00:00:00
Nakuru;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;1104;1;1;2002/05/14 00:00:00
Turkana;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;1413;1;1;2002/05/14 00:00:00
Uasin Gishu;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;1490;1;1;2002/05/14 00:00:00
Uasin Gishu;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;1491;1;1;2002/05/14 00:00:00
Siaya;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;1269;1;1;2002/05/15 00:00:00
Kilifi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;dref;12/03; operations update no. 3;-;410;0;0;2003/06/27 00:00:00
Kisumu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;216 families were affected;disinventer;0;0;515;2;0;2009/10/21 00:00:00
Siaya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;1270;0;0;2003/09/07 00:00:00
Siaya;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;365 families affected;disinventer;0;0;1271;2;1;2003/09/07 00:00:00
Busia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;88;0;0;2003/12/11 00:00:00
Busia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;89;0;0;2005/01/01 00:00:00
Kakamega;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;357;0;0;2005/01/01 00:00:00
Isiolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90 households affected;disinventer;0;0;245;2;0;2005/04/24 00:00:00
Isiolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40 households were affected;disinventer;0;0;246;2;0;2005/04/25 00:00:00
Isiolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;220 households were affected;disinventer;0;0;247;2;0;2005/05/24 00:00:00
Isiolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200 households were affected;disinventer;0;0;248;2;0;2005/05/24 00:00:00
Isiolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170 households were affected;disinventer;0;0;249;2;0;2005/05/24 00:00:00
Isiolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150 households were affected;disinventer;0;0;250;2;0;2005/05/24 00:00:00
Isiolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120 households were affected;disinventer;0;0;251;2;0;2005/05/24 00:00:00
Isiolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70 households were affected;disinventer;0;0;252;2;0;2005/05/24 00:00:00
Isiolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50 households were affected;disinventer;0;0;253;2;0;2005/05/24 00:00:00
Isiolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40 households were affected;disinventer;0;0;254;2;0;2005/05/24 00:00:00
West Pokot;0;0;0;0;0;0;11;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;1537;1;1;2005/11/14 00:00:00
Isiolo;0;0;0;0;0;0;0;0;0;0;0;0;roads;1;0;0;0;0;0;0;0;0;0;0;0;0;roads are impassable;disinventer;0;0;256;2;0;2006/04/06 00:00:00
Homa Bay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;199;0;0;2006/04/24 00:00:00
Siaya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;sondu miriu river's banks were overflown;disinventer;0;0;1272;2;0;2006/04/24 00:00:00
Kisumu;0;0;0;0;0;0;0;0;47;0;0;0;school;0;0;0;0;0;0;0;0;0;0;0;0;0;one school was destroyed;disinventer;0;0;517;2;1;2009/12/27 00:00:00
Mombasa;0;0;0;0;0;0;0;0;15;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;dref;bulletin (no. 2/2006);0;924;1;1;2006/05/21 00:00:00
Isiolo;0;0;0;0;0;0;3;0;0;354;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;257;1;1;2006/10/26 00:00:00
Isiolo;0;0;0;0;0;0;4;2;355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;258;1;1;2006/10/27 00:00:00
Kilifi;0;0;0;0;0;0;0;0;0;0;0;0;bridge;0;0;1;0;0;0;0;0;0;0;0;0;0;tha main bridge linking mazeras to kaloleni has been washed away;disinventer;0;0;416;2;0;2006/10/27 00:00:00
Kilifi;0;0;0;0;0;0;0;0;15;0;0;0;school;0;0;0;0;0;0;0;0;0;0;0;0;0;learning institutions have been affected;disinventer;0;0;417;2;1;2006/10/27 00:00:00
Kwale;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;633;1;1;2006/10/27 00:00:00
Kwale;0;0;0;0;0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67 families were rendered homeless;disinventer;0;0;634;2;1;2006/10/27 00:00:00
Marsabit;0;0;0;0;0;0;0;0;0;0;0;0;roads;1;0;0;0;0;0;0;0;0;0;0;0;0;the main road from nairobi and moyale was rendered impassable;disinventer;0;0;774;2;0;2006/10/27 00:00:00
Mombasa;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60 families were affected;disinventer;0;0;925;2;1;2006/10/27 00:00:00
Mombasa;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5 families were left homeless;disinventer;0;0;926;2;1;2006/10/27 00:00:00
Murang'a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;953;0;0;2006/10/27 00:00:00
Turkana;0;0;0;0;0;0;2;0;105;0;105;0;school;0;0;0;0;0;0;0;0;0;0;0;0;0;water levels were approximately 1 metre high, 3 primary schools were closed and a guest house was affected. 24 farms along the turkwell river have [...];disinventer;0;0;1414;2;1;2006/10/27 00:00:00
Wajir;0;0;0;0;0;0;0;0;0;0;0;0;market, schools;0;0;0;0;0;0;0;0;1;0;0;0;0;210 families were affected, buna trading centre, buna primary school and sorrounding areas are completely submerged in water;disinventer;0;0;1512;2;0;2006/10/28 00:00:00
Isiolo;0;0;0;0;0;0;4;0;0;0;355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;dref;mdrke003;fl-2006-000159-ken;259;1;1;2006/11/10 00:00:00
Baringo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;dref;kenya: floods update no.12, published 10th january 2007.;-;10;0;0;2007/01/10 00:00:00
Isiolo;0;0;0;0;0;0;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;dref;kenya: floods update no.12;-;260;1;1;2007/01/13 00:00:00
Busia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;95;0;0;2007/08/20 00:00:00
Busia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;96;0;0;2007/08/21 00:00:00
Taita Taveta;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;1290;1;1;2008/03/20 00:00:00
Busia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;97;0;0;2008/04/01 00:00:00
Kilifi;0;0;0;0;0;0;0;17;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;roof of 4 houses blown off and one wall damaged;disinventer;0;0;419;2;1;2008/06/01 00:00:00
Kwale;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;636;1;1;2008/06/01 00:00:00
Lamu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;669;0;0;2008/06/01 00:00:00
Mombasa;0;0;0;0;0;0;1;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;person killed as a result of a nakumatt wall collapsed on him;disinventer;0;0;928;2;1;2008/06/01 00:00:00
Mombasa;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;929;1;0;2008/06/01 00:00:00
Murang'a;0;0;0;0;0;0;0;0;0;0;0;0;road;1;0;0;0;0;0;0;0;0;0;0;0;0;hola - garsen road has been destroyed and people and cars stranded;disinventer;0;0;954;2;0;2008/06/01 00:00:00
Murang'a;0;0;0;0;0;0;0;0;0;1874;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;955;1;0;2008/06/01 00:00:00
Murang'a;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;956;1;1;2008/06/13 00:00:00
Turkana;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;1416;1;1;2008/10/07 00:00:00
Mandera;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;somalia also affected;disinventer;0;0;744;2;1;2008/10/14 00:00:00
Busia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;98;0;0;2008/11/01 00:00:00
Garissa;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;154;1;0;2008/11/07 00:00:00
Mandera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1200 families affected;disinventer;0;0;745;2;0;2008/11/07 00:00:00
Mandera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;people affected by diarrhoeal disease, drinking water coontaminated;disinventer;0;0;746;2;0;2008/11/07 00:00:00
Murang'a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;957;0;0;2008/11/07 00:00:00
Murang'a;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;958;1;0;2008/11/07 00:00:00
Murang'a;0;0;0;0;0;0;0;0;2;0;0;0;school;0;0;0;0;0;0;0;0;0;0;0;0;0;one classroom, 3 farms washed away;disinventer;0;0;959;2;1;2008/11/07 00:00:00
Taita Taveta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;runoff water from mt kilimanjaro and overflow from river lumi;disinventer;0;0;1291;2;0;2008/11/07 00:00:00
Wajir;0;0;0;0;0;0;0;0;0;0;0;0;water_sources;0;0;0;0;0;0;0;1;0;0;0;0;0;6000 wells and the main water supply contaminated;disinventer;0;0;1514;2;0;2008/11/07 00:00:00
Wajir;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;1515;0;0;2008/11/07 00:00:00
West Pokot;0;0;0;0;0;0;14;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;captured in ma-db;disinventer;0;0;1540;2;1;2008/11/10 00:00:00
Kitui;0;0;0;0;0;0;0;0;0;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;617;1;0;2008/11/11 00:00:00
Busia;0;0;0;0;0;0;0;0;3;0;0;0;schools;0;0;0;0;0;0;0;0;0;0;0;0;0;3 schools submerged, ground water submerged, and surface sources contaminated;disinventer;0;0;100;2;1;2008/11/13 00:00:00
Kakamega;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;360;0;0;2008/11/13 00:00:00
Machakos;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;677;1;1;2008/11/13 00:00:00
Makueni;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;712;1;1;2008/11/13 00:00:00
Mandera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88km earth canals submerged 8.5km concrete submerged 9.2m worth farm inputs destroyed;disinventer;0;0;747;2;0;2008/11/13 00:00:00
Trans Nzoia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;1386;0;0;2008/11/13 00:00:00
Uasin Gishu;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20 families relocated;disinventer;0;0;1492;2;1;2008/11/13 00:00:00
Busia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;101;0;0;2008/11/15 00:00:00
Narok;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;1159;0;0;2008/12/15 00:00:00
Baringo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;13;0;0;2009/01/02 00:00:00
Busia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000 families were affected;disinventer;0;fl-2008-000217-ken;103;2;0;2009/05/01 00:00:00
Kisumu;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26 ha of maize and rice were destroyed;disinventer;0;0;518;2;1;2009/12/27 00:00:00
Siaya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;fl-2008-000217-ken;1274;0;0;2009/05/01 00:00:00
Trans Nzoia;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;fl-2008-000217-ken;1388;1;1;2009/05/01 00:00:00
West Pokot;0;0;0;0;0;0;0;0;367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;fl-2008-000217-ken;1542;1;1;2009/05/01 00:00:00
Kisii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;iakw;488;0;0;2009/08/18 00:00:00
Kisumu;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;523;1;1;2010/01/14 00:00:00
Kilifi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;420;0;0;2009/10/28 00:00:00
Lamu;0;0;0;0;0;0;0;0;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;670;1;1;2009/10/28 00:00:00
Mandera;0;0;0;0;0;0;0;0;300;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;749;1;1;2009/10/28 00:00:00
Mombasa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;930;0;0;2009/10/28 00:00:00
Murang'a;0;0;0;0;0;0;0;0;230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;960;1;1;2009/10/28 00:00:00
Kilifi;0;0;0;0;0;0;2;0;466;0;0;0;bridge, electricity;0;0;0;0;0;0;0;0;0;0;0;0;0;1000 households were affected;disinventer;0;0;421;2;1;2009/11/01 00:00:00
Kilifi;0;0;0;0;0;0;2;0;0;0;0;0;bridge, electricity;0;0;1;0;0;0;0;0;0;0;0;0;0;river mbogholo burst and swept away crops. abridge under construction was swept away and 3 power posts were brought down by the water;disinventer;0;0;422;2;1;2009/11/01 00:00:00
Kilifi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;423;0;0;2009/11/01 00:00:00
Kilifi;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;424;1;1;2009/11/02 00:00:00
Uasin Gishu;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;1493;1;1;2009/11/03 00:00:00
Embu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;144;0;0;2009/12/01 00:00:00
Isiolo;0;0;0;0;0;0;0;0;0;0;0;0;drainage;0;0;0;0;0;0;0;1;0;0;0;0;0;culvert destructed, broken water drainage;disinventer;0;0;261;2;0;2009/12/01 00:00:00
Narok;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;property of unknown value destroyed;disinventer;0;0;1161;2;1;2009/12/09 00:00:00
Nairobi;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;fl-2010-000003-ken;1032;1;0;2009/12/22 00:00:00
Nairobi;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;fl-2010-000003-ken;1033;1;1;2009/12/22 00:00:00
Nairobi;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;vehicles were destroyed and roofs of buildings blown away;disinventer;0;0;1034;2;1;2009/12/23 00:00:00
Narok;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;1162;1;1;2009/12/24 00:00:00
Kajiado;0;0;0;0;0;0;8;0;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;waters from the heavy storm of rainfall formed a seasonal river and streamed downhill. 8 people who were crossing a road were swept by the floods and [...];disinventer;0;0;309;2;1;2009/12/25 00:00:00
Homa Bay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;infrastructure was destroyed;disinventer;0;0;203;2;0;2009/12/27 00:00:00
Kisumu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;524;0;0;2010/01/14 00:00:00
Kisumu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14 homesteads displaced;disinventer;0;0;525;2;0;2010/01/14 00:00:00
Makueni;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;713;1;0;2009/12/27 00:00:00
Siaya;0;0;0;0;0;0;5;0;101;0;0;0;school;0;0;0;0;0;0;0;0;0;0;0;0;0;3 class rooms were destroyed and 15 homes evacuated;disinventer;0;0;1275;2;1;2009/12/27 00:00:00
Turkana;0;0;0;0;0;0;5;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;1418;1;1;2009/12/27 00:00:00
West Pokot;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;1544;1;1;2009/12/27 00:00:00
West Pokot;0;0;0;0;0;0;0;0;60;0;0;0;road;1;0;0;0;0;0;0;0;0;0;0;0;0;kenya - ethiopia - sudan roads were cut off;disinventer;0;0;1545;2;1;2009/12/27 00:00:00
Kajiado;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;310;1;1;2009/12/28 00:00:00
Narok;0;0;0;0;0;0;3;0;0;0;0;0;drainage;0;0;0;0;0;0;0;1;0;0;0;0;0;there was massive destruction of drainage systems;disinventer;0;0;1163;2;1;2009/12/28 00:00:00
Narok;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;1164;0;0;2009/12/28 00:00:00
Narok;0;0;0;0;0;0;0;0;0;0;0;0;drainage;0;0;0;0;0;0;0;1;0;0;0;0;0;drainage systems destroyed;disinventer;0;0;1165;2;0;2009/12/28 00:00:00
West Pokot;0;0;0;0;0;0;0;0;0;0;0;0;bridge;0;0;1;0;0;0;0;0;0;0;0;0;0;nginyang bridge was destroyed and transportation of relief food was paralysed;disinventer;0;0;1546;2;0;2009/12/31 00:00:00
West Pokot;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;1547;0;0;2009/12/31 00:00:00
Kajiado;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;311;1;1;2010/01/01 00:00:00
Kitui;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;618;0;0;2010/01/01 00:00:00
Machakos;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;0;678;1;1;2010/01/01 00:00:00
