branchName,lat,lon,numberOfVolunteers,contactPerson,contactNumber,contactAddress
Koibatek Satelite office,0.101398,36.034598,,,722267309,Baringo
East Pokot Satelite office,1.927222,35.274181,,,712029622,West Pokot
West Pokot Branch Office,2.024093,35.258247,,,726743594,Next To Kenya Police Head Quarters Kapenguria Division
Narok Branch Office,-1.086626,35.866086,,,718023341,Naivas C57
Kericho Branch Office,-0.36849,35.286745,,,729373867,"Along Law Court. Via Moi Road, Temple Road Kericho, Ministry Of Information Building."
Uasin Gishu Branch Office,0.524296,35.249212,,,711133268,In Chinese Race Course Along Eldoret International Airport Route
Bomet Branch Office,-0.781711183,35.34467076,,,723690733,Office Located Along Narok Kaplong Highway Inside The Bomet County Assembly Offices
Nandi Branch Office,0.203151814,35.10603743,,,722227131,Tinderet/Kapsabet
Kisumu Branch Office,-0.090825,34.772627,,,723573420,The Branch Is Located At Behind Jaramogi Oginga Odinga Refferral Hospital Next To Mortuary
Nyando Branch Office,-0.165503,35.080032,,,,"B1, Kisumu"
Trans Nzoia Branch Office,1.024903,34.999624,,,722530639,"Kitale, Trans Nzoia"
Nyamira Branch Office,-0.566677,34.935268,,,705725034,Next To The Governor'S Office Opposite Kcb Bank Nyamira
Kisii Branch Office,-0.781765,34.762931,,,725781411,Hosted By Katc Premises Next To Kisii School On Your Way To Nairobi
Kakamega Branch Office,0.276771,34.757341,,,711927217,Housed With County Govt Ministry Of Environment Kotecha Plaza 5Th Floor
Vihiga Branch Office,0.088511,34.723066,,,740702038,At The County Comissioners Office 4Th Floor Room 422
Bungoma Branch Office,0.570185,34.561443,,,721222703,Along Kanduyi-Malaba Road Opposite Bungoma Stadium
Migori Branch Office,-1.066342,34.46703,,,728990838,Next To The Governor'S Residence Opposite Former Bat
Homabay Branch Office,-0.535275,34.451516,,,702049149,Kabunde Along Homabay Rongo Road 6Km From Homabay Town
Siaya Branch Office,0.058365,34.286957,,,720462268,Along Hospital Road Behind The County Commisioners Office
Busia Branch Office,0.444663,34.111347,,,714309912,"Busia- Mayenje Ward, Along Busia Mundika Road, Through Busia Referral Hospital Adjusent To Farmview Hotel."
Tharaka Nithi Branch Office,-0.332783601,37.64542725,,,704509695,"Chuka Town, Next To Huduma Centre"
Makueni Branch Office,-1.788103884,37.62257017,,,704058992,Wote- Makindu Highway (Opposite The Office Of The Governor)
1- Iran Healthcenter Ngongroad branch(Iran medical center gong road branch ),-1.300452,36.778144,,Mahmoud Reza Faghihi Sereshki,254 111 597928,Adams Arcade Ngongroad Nairobi kenya
Emergency plus medical services,-1.32047,36.83746,,Kevin Ngereso,0720 823 679,Region
IRAN MEDICAL CLINIC  Parkroad Branch,-1.273655,36.831965,,Mahmoud Reza Faghihi Sereshki,00254 111 597928,Ngara parkroad  kinshasa road
Lamu rehabilitation center,-1.328569,36.77227,,Dr Ahmed Salat,722131967,"lamu county, hindi ward"
Lamu Rehabilitation Centre,-2.175795,40.858419,,Dr. George Bagwasi,254720386325,Hindi
Naragae Dispensary,3.755119,34.750342,,Kevin Ngereso,720823679,"Turkana county ,Turkana West sub county, Kalobeyei Refugee Settlement"
Natukobenyo health center,3.774412,34.730866,,Kevin Ngereso,720823679,"Turkana County, Turkana west sub county, Kalobeyei Refugee Settlement"
