COUNTY,CNSTTNC,WARDS,ADM1_PCODE,ADM2_PCODE,ADM3_PCODE
Mombasa,Mvita,Majengo,KE001,KE001006,KE0010060030
Kwale,Msabweni,Gombato Bogwe,KE002,KE002007,KE0020070031
Kwale,Msambweni,Ukunda,KE002,KE002007,KE0020070032
Kwale,Msambweni,Kinondo,KE002,KE002007,KE0020070033
Kwale,Msambweni,Ramisi,KE002,KE002007,KE0020070034
Kwale,Lunga Lunga,Pongwe/Kikoneni,KE002,KE002008,KE0020080035
Kwale,Lunga Lunga,Dzombo,KE002,KE002008,KE0020080036
Kwale,Lunga Lunga,Mwereni,KE002,KE002008,KE0020080037
Kwale,Lunga Lunga,Vanga,KE002,KE002008,KE0020080038
Kwale,Matuga,Tsimba Golini,KE002,KE002009,KE0020090039
Kwale,Matuga,Waa,KE002,KE002009,KE0020090040
Kwale,Matuga,Tiwi,KE002,KE002009,KE0020090041
Kwale,Matuga,Kubo South,KE002,KE002009,KE0020090042
Kwale,Matuga,Mkongani,KE002,KE002009,KE0020090043
Kwale,Kinango,Ndavaya,KE002,KE002010,KE0020100044
Kwale,Kinango,Puma,KE002,KE002010,KE0020100045
Kwale,Kinango,Kinango,KE002,KE002010,KE0020100046
Kwale,Kinango,Mackinon Road,KE002,KE002010,KE0020100047
Kwale,Kinango,Chengoni/Samburu,KE002,KE002010,KE0020100048
Kwale,Kinango,Mwabila,KE002,KE002010,KE0020100049
Kwale,Kinango,Kasemeni,KE002,KE002010,KE0020100050
Kilifi,Kilifi North,Tezo,KE003,KE003011,KE0030110051
Kilifi,Kilifi North,Sokoni,KE003,KE003011,KE0030110052
Kilifi,Kilifi North,Kibarani,KE003,KE003011,KE0030110053
Kilifi,Kilifi North,Dabaso,KE003,KE003011,KE0030110054
Kilifi,Kilifi North,Matsangoni,KE003,KE003011,KE0030110055
Kilifi,Kilifi North,Watamu,KE003,KE003011,KE0030110056
Kilifi,Kilifi North,Mnarani,KE003,KE003011,KE0030110057
Kilifi,Kilifi South,Junju,KE003,KE003012,KE0030120058
Kilifi,Kilifi South,Mwarakaya,KE003,KE003012,KE0030120059
Kilifi,Kilifi South,Shimo La Tewa,KE003,KE003012,KE0030120060
Kilifi,Kilfi South,Chasimba,KE003,KE003012,KE0030120061
Kilifi,Kilifi South,Mtepeni,KE003,KE003012,KE0030120062
Kilifi,Kaloleni,Mariakani,KE003,KE003013,KE0030130063
Kilifi,Kaloleni,Kayafungo,KE003,KE003013,KE0030130064
Kilifi,Kaloleni,Kaloleni,KE003,KE003013,KE0030130065
Kilifi,Kaloleni,Mwanamwinga,KE003,KE003013,KE0030130066
Kilifi,Rabai,Mwawesa,KE003,KE003014,KE0030140067
Kilifi,Rabai,Ruruma,KE003,KE003014,KE0030140068
Kilifi,Rabai,Kambe/Ribe,KE003,KE003014,KE0030140069
Kilifi,Rabai,Rabai/Kisurutini,KE003,KE003014,KE0030140070
Kilifi,Ganze,Ganze,KE003,KE003015,KE0030150071
Kilifi,Ganze,Bamba,KE003,KE003015,KE0030150072
Kilifi,Ganze,Jaribuni,KE003,KE003015,KE0030150073
Kilifi,Ganze,Sokoke,KE003,KE003015,KE0030150074
Kilifi,Malindi,Jilore,KE003,KE003016,KE0030160075
Kilifi,Malindi,Kakuyuni,KE003,KE003016,KE0030160076
Kilifi,Malindi,Ganda,KE003,KE003016,KE0030160077
Kilifi,Malindi,Malindi Town,KE003,KE003016,KE0030160078
Kilifi,Malindi,Shella,KE003,KE003016,KE0030160079
Kilifi,Magarini,Marafa,KE003,KE003017,KE0030170080
Kilifi,Magarini,Magarini,KE003,KE003017,KE0030170081
Kilifi,Magarini,Gongoni,KE003,KE003017,KE0030170082
Kilifi,Magarini,Adu,KE003,KE003017,KE0030170083
Kilifi,Magarini,Garashi,KE003,KE003017,KE0030170084
Kilifi,Magarini,Sabaki,KE003,KE003017,KE0030170085
Tana River,Garsen,Kipini East,KE004,KE004018,KE0040180086
Tana River,Garsen,Garsen South,KE004,KE004018,KE0040180087
Tana River,Garsen,Kipini West,KE004,KE004018,KE0040180088
Tana River,Garsen,Garsen Central,KE004,KE004018,KE0040180089
Tana River,Garsen,Garsen West,KE004,KE004018,KE0040180090
Tana River,Garsen,Garsen North,KE004,KE004018,KE0040180091
Tana River,Galole,Kinakomba,KE004,KE004019,KE0040190092
Tana River,Galole,Mikinduni,KE004,KE004019,KE0040190093
Tana River,Galole,Chewani,KE004,KE004019,KE0040190094
Tana River,Galole,Wayu,KE004,KE004019,KE0040190095
Tana River,Bura,Chewele,KE004,KE004020,KE0040200096
Tana River,Bura,Hirimani,KE004,KE004020,KE0040200097
Tana River,Bura,Bangale,KE004,KE004020,KE0040200098
Tana River,Bura,Sala,KE004,KE004020,KE0040200099
Tana River,Bura,Madogo,KE004,KE004020,KE0040200100
Lamu,Lamu East,Faza,KE005,KE005021,KE0050210101
Lamu,Lamu East,Kiunga,KE005,KE005021,KE0050210102
Lamu,Lamu East,Basuba,KE005,KE005021,KE0050210103
Lamu,Lamu West,Shella,KE005,KE005022,KE0050220104
Lamu,Lamu West,Mkomami,KE005,KE005022,KE0050220105
Lamu,Lamu West,Hindi,KE005,KE005022,KE0050220106
Lamu,Lamu West,Mkunumbi,KE005,KE005022,KE0050220107
Lamu,Lamu West,Hongwe,KE005,KE005022,KE0050220108
Lamu,Lamu West,Witu,KE005,KE005022,KE0050220109
Lamu,Lamu West,Bahari,KE005,KE005022,KE0050220110
Taita Taveta,Taveta,Chala,KE006,KE006023,KE0060230111
Taita Taveta,Taveta,Mahoo,KE006,KE006023,KE0060230112
Taita Taveta,Taveta,Bomani,KE006,KE006023,KE0060230113
Taita Taveta,Taveta,Mboghoni,KE006,KE006023,KE0060230114
Taita Taveta,Taveta,Mata,KE006,KE006023,KE0060230115
Taita Taveta,Wundanyi,Wundanyi/Mbale,KE006,KE006024,KE0060240116
Taita Taveta,Wundanyi,Werugha,KE006,KE006024,KE0060240117
Taita Taveta,Wundanyi,Wumigu/Kishushe,KE006,KE006024,KE0060240118
Taita Taveta,Wundanyi,Mwanda/Mgange,KE006,KE006024,KE0060240119
Taita Taveta,Mwatate,Ronge,KE006,KE006025,KE0060250120
Taita Taveta,Mwatate,Mwatate,KE006,KE006025,KE0060250121
Taita Taveta,Mwatate,Bura,KE006,KE006025,KE0060250122
Taita Taveta,Mwatate,Chawia,KE006,KE006025,KE0060250123
Taita Taveta,Mwatate,Wusi/Kishamba,KE006,KE006025,KE0060250124
Taita Taveta,Voi,Mbololo,KE006,KE006026,KE0060260125
Taita Taveta,Voi,Sagala,KE006,KE006026,KE0060260126
Taita Taveta,Voi,Kaloleni,KE006,KE006026,KE0060260127
Taita Taveta,Voi,Maungu,KE006,KE006026,KE0060260128
Taita Taveta,Voi,Kasigau,KE006,KE006026,KE0060260129
Taita Taveta,Voi,Ngolia,KE006,KE006026,KE0060260130
Garissa,Garissa Township,Township,KE007,KE007027,KE0070270131
Garissa,Garissa Township,Galbet,KE007,KE007027,KE0070270132
Garissa,Garissa Township,Township,KE007,KE007027,KE0070270133
Garissa,Garissa Township,Township,KE007,KE007027,KE0070270134
Garissa,Balambala,Balambala,KE007,KE007028,KE0070280135
Garissa,Balambala,Danyere,KE007,KE007028,KE0070280136
Garissa,Balambala,Jarajara,KE007,KE007028,KE0070280137
Garissa,Balambala,Saka,KE007,KE007028,KE0070280138
Garissa,Balambala,Sankuri,KE007,KE007028,KE0070280139
Garissa,Lagdera,Modogashe,KE007,KE007029,KE0070290140
Garissa,Lagdera,Benane,KE007,KE007029,KE0070290141
Garissa,Lagdera,Goreale,KE007,KE007029,KE0070290142
Garissa,Lagdera,Maalamin,KE007,KE007029,KE0070290143
Garissa,Lagdera,Sabena,KE007,KE007029,KE0070290144
Garissa,Lagdera,Baraki,KE007,KE007029,KE0070290145
Garissa,Dadaab,Dertu,KE007,KE007030,KE0070300146
Garissa,Dadaab,Dadaab,KE007,KE007030,KE0070300147
Garissa,Dadaab,Labisigale,KE007,KE007030,KE0070300148
Garissa,Dadaab,Damajale,KE007,KE007030,KE0070300149
Garissa,Dadaab,Liboi,KE007,KE007030,KE0070300150
Garissa,Dadaab,Abakaile,KE007,KE007030,KE0070300151
Garissa,Fafi,Bura,KE007,KE007031,KE0070310152
Garissa,Fafi,Dekaharia,KE007,KE007031,KE0070310153
Garissa,Fafi,Jarajila,KE007,KE007031,KE0070310154
Garissa,Fafi,Fafi,KE007,KE007031,KE0070310155
Garissa,Fafi,Nanighi,KE007,KE007031,KE0070310156
Garissa,Ijara,Hulugho,KE007,KE007032,KE0070320157
Garissa,Ijara,Sangailu,KE007,KE007032,KE0070320158
Garissa,Ijara,Ijara,KE007,KE007032,KE0070320159
Garissa,Ijara,Masalani,KE007,KE007032,KE0070320160
Wajir,Wajir North,Gurar,KE008,KE008033,KE0080330161
Wajir,Wajir North,Bute,KE008,KE008033,KE0080330162
Wajir,Wajir North,Korondile,KE008,KE008033,KE0080330163
Wajir,Wajir North,Malkagufu,KE008,KE008033,KE0080330164
Wajir,Wajir North,Batalu,KE008,KE008033,KE0080330165
Wajir,Wajir North,Danaba,KE008,KE008033,KE0080330166
Wajir,Wajir North,Godoma,KE008,KE008033,KE0080330167
Wajir,Wajir East,Wagberi,KE008,KE008034,KE0080340168
Wajir,Wajir East,Township,KE008,KE008034,KE0080340169
Wajir,Wajir East,Barwaqo,KE008,KE008034,KE0080340170
Wajir,Wajir East,Khorof/Harar,KE008,KE008034,KE0080340171
Wajir,Tarbaj,Elben,KE008,KE008035,KE0080350172
Wajir,Tarbaj,Sarman,KE008,KE008035,KE0080350173
Wajir,Tarbaj,Tarbaj,KE008,KE008035,KE0080350174
Wajir,Tarbaj,Wargadud,KE008,KE008035,KE0080350175
Wajir,Wajir West,Arbajahan,KE008,KE008036,KE0080360176
Wajir,Wajir West,Hadado/Athibohol,KE008,KE008036,KE0080360177
Wajir,Wajir West,Ademasajide,KE008,KE008036,KE0080360178
Wajir,Wajir West,Ganyure,KE008,KE008036,KE0080360179
Wajir,Wajir West,Wagalla,KE008,KE008036,KE0080360180
Wajir,Eldas,Eldas,KE008,KE008037,KE0080370181
Wajir,Eldas,Della,KE008,KE008037,KE0080370182
Wajir,Eldas,Elnur/Tula Tula,KE008,KE008037,KE0080370183
Wajir,Wajir South,Benane,KE008,KE008038,KE0080380184
Wajir,Wajir South,Bur-Der,KE008,KE008038,KE0080380185
Wajir,Wajir South,Dadaja Bulla,KE008,KE008038,KE0080380186
Wajir,Wajir South,Habaswein,KE008,KE008038,KE0080380187
Wajir,Wajir South,Lagboghol South,KE008,KE008038,KE0080380188
Wajir,Wajir South,Ibrahim Ure,KE008,KE008038,KE0080380189
Wajir,Wajir South,Diff,KE008,KE008038,KE0080380190
Mandera,Mandera West,Takaba South,KE009,KE009039,KE0090390191
Mandera,Mandera West,Takaba,KE009,KE009039,KE0090390192
Mandera,Mandera West,Laghsure,KE009,KE009039,KE0090390193
Mandera,Mandera West,Dandu,KE009,KE009039,KE0090390194
Mandera,Mandera West,Gither,KE009,KE009039,KE0090390195
Mandera,Banissa,Banissa,KE009,KE009040,KE0090400196
Mandera,Banissa,Derkhale,KE009,KE009040,KE0090400197
Mandera,Banissa,Guba,KE009,KE009040,KE0090400198
Mandera,Banissa,Malkamari,KE009,KE009040,KE0090400199
Mandera,Banissa,Kiliwaheri,KE009,KE009040,KE0090400200
Mandera,Mandera North,Ashabito,KE009,KE009041,KE0090410201
Mandera,Mandera North,Guticha,KE009,KE009041,KE0090410202
Mandera,Mandera North,Marothile,KE009,KE009041,KE0090410203
Mandera,Mandera North,Rhamu,KE009,KE009041,KE0090410204
Mandera,Mandera North,Rhamu Dimtu,KE009,KE009041,KE0090410205
Mandera,Mandera South,Wargadud,KE009,KE009042,KE0090420206
Mandera,Mandera South,Kotulo,KE009,KE009042,KE0090420207
Mandera,Mandera South,Elwak South,KE009,KE009042,KE0090420208
Mandera,Mandera South,Elwak North,KE009,KE009042,KE0090420209
Mandera,Mandera South,Shambir Fatuma,KE009,KE009042,KE0090420210
Mandera,Mandera East,Arabia,KE009,KE009043,KE0090430211
Mandera,Mandera East,Bulla Mpya,KE009,KE009043,KE0090430212
Mandera,Mandera East,Khalalio,KE009,KE009043,KE0090430213
Mandera,Mandera East,Neboi,KE009,KE009043,KE0090430214
Mandera,Mandera East,Township,KE009,KE009043,KE0090430215
Mandera,Lafey,Libehia,KE009,KE009044,KE0090440216
Mandera,Lafey,Fino,KE009,KE009044,KE0090440217
Mandera,Lafey,Lafey,KE009,KE009044,KE0090440218
Mandera,Lafey,Warankara,KE009,KE009044,KE0090440219
Mandera,Lafey,Alango Gof,KE009,KE009044,KE0090440220
Marsabit,Moyale,Butiye,KE010,KE010045,KE0100450221
Marsabit,Moyale,Sololo,KE010,KE010045,KE0100450222
Marsabit,Moyale,Heillu/Manyatta,KE010,KE010045,KE0100450223
Marsabit,Moyale,Golbo,KE010,KE010045,KE0100450224
Marsabit,Moyale,Moyale Township,KE010,KE010045,KE0100450225
Marsabit,Moyale,Uran,KE010,KE010045,KE0100450226
Marsabit,Moyale,Obbu,KE010,KE010045,KE0100450227
Marsabit,North Horr,Dukana,KE010,KE010046,KE0100460228
Marsabit,North Horr,Maikona,KE010,KE010046,KE0100460229
Marsabit,North Horr,Turbi,KE010,KE010046,KE0100460230
Marsabit,North Horr,North Horr,KE010,KE010046,KE0100460231
Marsabit,North Horr,Illeret,KE010,KE010046,KE0100460232
Marsabit,Saku,Sagante/Jaldesa,KE010,KE010047,KE0100470233
Marsabit,Saku,Karare,KE010,KE010047,KE0100470234
Marsabit,Saku,Marsabit Central,KE010,KE010047,KE0100470235
Marsabit,Laisamis,Loiyangalani,KE010,KE010048,KE0100480236
Marsabit,Laisamis,Kargi/South Horr,KE010,KE010048,KE0100480237
Marsabit,Laisamis,Korr/Ngurunit,KE010,KE010048,KE0100480238
Marsabit,Laisamis,Logologo,KE010,KE010048,KE0100480239
Marsabit,Laisamis,Laisamis,KE010,KE010048,KE0100480240
Isiolo,Isiolo North,Wabera,KE011,KE011049,KE0110490241
Isiolo,Isiolo North,Bula Pesa,KE011,KE011049,KE0110490242
Isiolo,Isiolo North,Chari,KE011,KE011049,KE0110490243
Isiolo,Isiolo North,Cherab,KE011,KE011049,KE0110490244
Isiolo,Isiolo North,Ngare Mara,KE011,KE011049,KE0110490245
Isiolo,Isiolo North,Burat,KE011,KE011049,KE0110490246
Isiolo,Isiolo North,Oldonyiro,KE011,KE011049,KE0110490247
Isiolo,Isiolo South,Garbatulla,KE011,KE011050,KE0110500248
Isiolo,Isiolo South,Kinna,KE011,KE011050,KE0110500249
Isiolo,Isiolo South,Sericho,KE011,KE011050,KE0110500250
Meru,Igembe South,Maua,KE012,KE012051,KE0120510251
Meru,Igembe South,Kiegu/Antubochiu,KE012,KE012051,KE0120510252
Meru,Igembe South,Athiru Gaiti,KE012,KE012051,KE0120510253
Meru,Igembe South,Akachiu,KE012,KE012051,KE0120510254
Meru,Igembe South,Kanuni,KE012,KE012051,KE0120510255
Meru,Igembe Central,Akirang'ondu,KE012,KE012052,KE0120520256
Meru,Igembe Central,Athiru Ruujine,KE012,KE012052,KE0120520257
Meru,Igembe Central,Igembe East,KE012,KE012052,KE0120520258
Meru,Igembe Central,Njia,KE012,KE012052,KE0120520259
Meru,Igembe Central,Kangeta,KE012,KE012052,KE0120520260
Meru,Igembe North,Antuambui,KE012,KE012053,KE0120530261
Meru,Igembe North,Ntunene,KE012,KE012053,KE0120530262
Meru,Igembe North,Antubetwe Kiongo,KE012,KE012053,KE0120530263
Meru,Igembe North,Naathu,KE012,KE012053,KE0120530264
Meru,Igembe North,Amwathi,KE012,KE012053,KE0120530265
Meru,Tigania West,Athwana,KE012,KE012054,KE0120540266
Meru,Tigania West,Akithii,KE012,KE012054,KE0120540267
Meru,Tigania West,Kianjai,KE012,KE012054,KE0120540268
Meru,Tigania West,Nkomo,KE012,KE012054,KE0120540269
Meru,Tigania West,Mbeu,KE012,KE012054,KE0120540270
Meru,Tigania East,Thangatha,KE012,KE012055,KE0120550271
Meru,Tigania East,Mikinduri,KE012,KE012055,KE0120550272
Meru,Tigania East,Kiguchwa,KE012,KE012055,KE0120550273
Meru,Tigania East,Muthara,KE012,KE012055,KE0120550274
Meru,Tigania East,Karama,KE012,KE012055,KE0120550275
Meru,North Imenti,Municipality,KE012,KE012056,KE0120560276
Meru,North Imenti,Ntima East,KE012,KE012056,KE0120560277
Meru,North Imenti,Ntima West,KE012,KE012056,KE0120560278
Meru,North Imenti,Nyaki West,KE012,KE012056,KE0120560279
Meru,North Imenti,Nyaki East,KE012,KE012056,KE0120560280
Meru,Buuri,Timau,KE012,KE012057,KE0120570281
Meru,Buuri,Kisima,KE012,KE012057,KE0120570282
Meru,Buuri,Kiirua/Naari,KE012,KE012057,KE0120570283
Meru,Buuri,Ruiri/Rwarera,KE012,KE012057,KE0120570284
Meru,Central Imenti,Mwanganthia,KE012,KE012058,KE0120580285
Meru,Central Imenti,Abothuguchi Central,KE012,KE012058,KE0120580286
Meru,Central Imenti,Abothuguchi West,KE012,KE012058,KE0120580287
Meru,Central Imenti,Kiagu,KE012,KE012058,KE0120580288
Meru,Buuri,Kibirichia,KE012,KE012057,KE0120570289
Meru,South Imenti,Mitunguu,KE012,KE012059,KE0120590290
Meru,South Imenti,Igoji East,KE012,KE012059,KE0120590291
Meru,South Imenti,Igoji West,KE012,KE012059,KE0120590292
Meru,South Imenti,Abogeta East,KE012,KE012059,KE0120590293
Meru,South Imenti,Abogeta West,KE012,KE012059,KE0120590294
Meru,South Imenti,Nkuene,KE012,KE012059,KE0120590295
Tharaka-Nithi,Maara,Mitheru,KE013,KE013060,KE0130600296
Tharaka-Nithi,Maara,Muthambi,KE013,KE013060,KE0130600297
Tharaka-Nithi,Maara,Mwimbi,KE013,KE013060,KE0130600298
Tharaka-Nithi,Maara,Ganga,KE013,KE013060,KE0130600299
Tharaka-Nithi,Maara,Chogoria,KE013,KE013060,KE0130600300
Tharaka-Nithi,Chuka/Igambang'ombe,Mariani,KE013,KE013061,KE0130610301
Tharaka-Nithi,Chuka/Igambang'ombe,Karingani,KE013,KE013061,KE0130610302
Tharaka-Nithi,Chuka/Igambang'ombe,Magumoni,KE013,KE013061,KE0130610303
Tharaka-Nithi,Chuka/Igambang'ombe,Mugwe,KE013,KE013061,KE0130610304
Tharaka-Nithi,Chuka/Igambang'ombe,Igambang'ombe,KE013,KE013061,KE0130610305
Tharaka-Nithi,Tharaka,Gatunga,KE013,KE013062,KE0130620306
Tharaka-Nithi,Tharaka,Mukothima,KE013,KE013062,KE0130620307
Tharaka-Nithi,Tharaka,Nkondi,KE013,KE013062,KE0130620308
Tharaka-Nithi,Tharaka,Chiakariga,KE013,KE013062,KE0130620309
Tharaka-Nithi,Tharaka,Marimanti,KE013,KE013062,KE0130620310
Embu,Manyatta,Ruguru-Ngandori,KE014,KE014063,KE0140630311
Embu,Manyatta,Kithimu,KE014,KE014063,KE0140630312
Embu,Manyatta,Nginda,KE014,KE014063,KE0140630313
Embu,Manyatta,Mbeti North,KE014,KE014063,KE0140630314
Embu,Manyatta,Kirimani,KE014,KE014063,KE0140630315
Embu,Manyatta,Gaturi South,KE014,KE014063,KE0140630316
Embu,Runyenjes,Gaturi North,KE014,KE014064,KE0140640317
Embu,Runyenjes,Kagaari South,KE014,KE014064,KE0140640318
Embu,Runyenjes,Central,KE014,KE014064,KE0140640319
Embu,Runyenjes,Kagaari North,KE014,KE014064,KE0140640320
Embu,Runyenjes,Kyeni North East,KE014,KE014064,KE0140640321
Embu,Runyenjes,Kyeni South,KE014,KE014064,KE0140640322
Embu,Mbeere South,Mwea,KE014,KE014065,KE0140650323
Embu,Mbeere South,Makima,KE014,KE014065,KE0140650324
Embu,Mbeere South,Mbeti South,KE014,KE014065,KE0140650325
Embu,Mbeere South,Mavuria,KE014,KE014065,KE0140650326
Embu,Mbeere South,Kiambere,KE014,KE014065,KE0140650327
Embu,Mbeere North,Nthawa,KE014,KE014066,KE0140660328
Embu,Mbeere North,Muminji,KE014,KE014066,KE0140660329
Embu,Mbeere North,Evurore,KE014,KE014066,KE0140660330
Kitui,Mwingi North,Ngomeni,KE015,KE015067,KE0150670331
Kitui,Mwingi North,Kyuso,KE015,KE015067,KE0150670332
Kitui,Mwingi North,Mumoni,KE015,KE015067,KE0150670333
Kitui,Mwingi North,Tseikuru,KE015,KE015067,KE0150670334
Kitui,Mwingi North,Tharaka,KE015,KE015067,KE0150670335
Kitui,Mwingi West,Kyome/Thaana,KE015,KE015068,KE0150680336
Kitui,Mwingi West,Nguutani,KE015,KE015068,KE0150680337
Kitui,Mwingi West,Migwani,KE015,KE015068,KE0150680338
Kitui,Mwingi West,Kiomo/Kyethani,KE015,KE015068,KE0150680339
Kitui,Mwingi West,Central,KE015,KE015068,KE0150680340
Kitui,Mwingi Central,Kivou,KE015,KE015069,KE0150690341
Kitui,Mwingi Central,Nguni,KE015,KE015069,KE0150690342
Kitui,Mwingi Central,Nuu,KE015,KE015069,KE0150690343
Kitui,Mwingi Central,Mui,KE015,KE015069,KE0150690344
Kitui,Mwingi Central,Waita,KE015,KE015069,KE0150690345
Kitui,Kitui West,Mutonguni,KE015,KE015070,KE0150700346
Kitui,Kitui West,Kauwi,KE015,KE015070,KE0150700347
Kitui,Kitui West,Matinyani,KE015,KE015070,KE0150700348
Kitui,Kitui West,Kwamutonga/Kithumula,KE015,KE015070,KE0150700349
Kitui,Kitui Rural,Kisasi,KE015,KE015071,KE0150710350
Kitui,Kitui Rural,Mbitini,KE015,KE015071,KE0150710351
Kitui,Kitui Rural,Kwavonza/Yatta,KE015,KE015071,KE0150710352
Kitui,Kitui Rural,Kanyangi,KE015,KE015071,KE0150710353
Kitui,Kitui Central,Miambani,KE015,KE015072,KE0150720354
Kitui,Kitui Central,Township,KE015,KE015072,KE0150720355
Kitui,Kitui Central,Kyangwithya West,KE015,KE015072,KE0150720356
Kitui,Kitui Central,Mulango,KE015,KE015072,KE0150720357
Kitui,Kitui Central,Kyangwithya East,KE015,KE015072,KE0150720358
Kitui,Kitui East,Zombe/Mwitika,KE015,KE015073,KE0150730359
Kitui,Kitui East,Nzambani,KE015,KE015073,KE0150730360
Kitui,Kitui East,Chuluni,KE015,KE015073,KE0150730361
Kitui,Kitui East,Voo/Kyamatu,KE015,KE015073,KE0150730362
Kitui,Kitui East,Endau/Malalani,KE015,KE015073,KE0150730363
Kitui,Kitui East,Mutitu/Kaliku,KE015,KE015073,KE0150730364
Kitui,Kitui South,Ikanga/Kyatune,KE015,KE015074,KE0150740365
Kitui,Kitui South,Mutomo,KE015,KE015074,KE0150740366
Kitui,Kitui South,Mutha,KE015,KE015074,KE0150740367
Kitui,Kitui South,Ikutha,KE015,KE015074,KE0150740368
Kitui,Kitui South,Kanziko,KE015,KE015074,KE0150740369
Kitui,Kitui South,Athi,KE015,KE015074,KE0150740370
Machakos,Masinga,Kivaa,KE016,KE016075,KE0160750371
Machakos,Masinga,Masinga Central,KE016,KE016075,KE0160750372
Machakos,Masinga,Ekalakala,KE016,KE016075,KE0160750373
Machakos,Masinga,Muthesya,KE016,KE016075,KE0160750374
Machakos,Masinga,Ndithini,KE016,KE016075,KE0160750375
Machakos,Yatta,Ndalani,KE016,KE016076,KE0160760376
Machakos,Yatta,Matuu,KE016,KE016076,KE0160760377
Machakos,Yatta,Kithimani,KE016,KE016076,KE0160760378
Machakos,Yatta,Ikombe,KE016,KE016076,KE0160760379
Machakos,Yatta,Katangi,KE016,KE016076,KE0160760380
Machakos,Kangundo,Kangundo North,KE016,KE016077,KE0160770381
Machakos,Kangundo,Kangundo Central,KE016,KE016077,KE0160770382
Machakos,Kangundo,Kangundo East,KE016,KE016077,KE0160770383
Machakos,Kangundo,Kangundo West,KE016,KE016077,KE0160770384
Machakos,Matungulu,Tala,KE016,KE016078,KE0160780385
Machakos,Matungulu,Matungulu North,KE016,KE016078,KE0160780386
Machakos,Matungulu,Matungulu East,KE016,KE016078,KE0160780387
Machakos,Matungulu,Matungulu West,KE016,KE016078,KE0160780388
Machakos,Matungulu,Kyeleni,KE016,KE016078,KE0160780389
Machakos,Kathiani,Mitaboni,KE016,KE016079,KE0160790390
Machakos,Kathiani,Kathiani Central,KE016,KE016079,KE0160790391
Machakos,Kathiani,Upper Kaewa/Iveti,KE016,KE016079,KE0160790392
Machakos,Kathiani,Upper Kaewa/Kaani,KE016,KE016079,KE0160790393
Machakos,Mavoko,Athi River,KE016,KE016080,KE0160800394
Machakos,Mavoko,Kinanie,KE016,KE016080,KE0160800395
Machakos,Mavoko,Muthwani,KE016,KE016080,KE0160800396
Machakos,Mavoko,Syokimau,KE016,KE016080,KE0160800397
Machakos,Machakos Town,Kalama,KE016,KE016081,KE0160810398
Machakos,Machakos Town,Mua,KE016,KE016081,KE0160810399
Machakos,Machakos Town,Mutituni,KE016,KE016081,KE0160810400
Machakos,Machakos Town,Machakos Central,KE016,KE016081,KE0160810401
Machakos,Machakos Town,Mumbuni North,KE016,KE016081,KE0160810402
Machakos,Machakos Town,Muvuti/Kiima Kimwe,KE016,KE016081,KE0160810403
Machakos,Machakos Town,Kola,KE016,KE016081,KE0160810404
Machakos,Mwala,Mbiuni,KE016,KE016082,KE0160820405
Machakos,Mwala,Makutano/Mwala,KE016,KE016082,KE0160820406
Machakos,Mwala,Masii,KE016,KE016082,KE0160820407
Machakos,Mwala,Muthetheni,KE016,KE016082,KE0160820408
Machakos,Mwala,Wamunyu,KE016,KE016082,KE0160820409
Machakos,Mwala,Kibauni,KE016,KE016082,KE0160820410
