branchName,BranchLevel,Town,Zone,Region,lat,lon,contactNumber,contactPerson,contactAddress,YearOfestablishment,numberOfBDRT,numberOfVolunteers,HumanResource,Targetpoulation
West Arsi Branch,Zonal Branch,Shashamane,West Arsi ,Oromia,7.196143,38.608494,945-59-35-98,Kemal Abdella,kemal.abdella@redcrosseth.org, 1999,2,6072,68,2807429
East Wollega Branch,Zonal Branch,Nekemte,East Wollega ,Oromia,9.091265,36.547086,909-76-64-05,Firew Hailu,firew.hailu@redcrosseth.org, 1973,3,1510,63,332128
West Wollega Branch,Zonal Branch,Gimbi,West Wollega ,Oromia,9.167002,35.839021,911-05-32-05,Mengistu Senbeta,mengistu.senbeta@redcrosseth.org, 1997,3,454,35,1823270
West Harerghe Branch,Zonal Branch,Chiro,West Harerghe ,Oromia,9.079527,40.865219,915-73-47-25,Mohammed Seid,mohamed.abdulhamid@redcrosseth.org, 1982,3,6306,42,2723850
East Haraghe Branch,Zonal Branch,Harer,East Haraghe ,Oromia,9.292036,42.144227,933-44-60-00,Ketema Habtamu,ketema.habtamu@redcrosseth.org,2009,3,11205,19,3699252
Guji Branch,Zonal Branch,Negele Borena,Guji ,Oromia,5.334136,39.581791,913-41-53-49,Yohannes Feyisa,yohannes.feyisa@redcrosseth.org, 1982,2,10226,18,1434110
Finfine Special Zone ,Zonal Branch,Sabeta,Finfine Special Zone,Oromia,8.911231,38.626765,917-77-75-51,Gezaheng Desalenge,gezahegne.desalegne@redcrosseth.org,2009,2,14687,28,1021615
Kelem Wellega Branch,coordination office,Dambi dolo,Kelem Wellega ,Oromia,8.535663,34.799437,912-74-07-27,Teferi Teso,teferi.teso@redcrosseth.org,2009,0,2242,22,1061361
West Guji ,coordination office,Bule Hora,West Guji ,Oromia,5.633134,38.238865,917-81-42-52,Doktor Bogale,doktor.bogale@redcrosseth.org,2009,0,417,8,1198631
North shoa ,coordination office,Fiche,North shoa ,Oromia,9.77122,38.739395,939-7130-09,Mengistu Belachew,mengistu.belachew@redcrosseth.org,2010,0,1200,13,1561000
Buno Beddele cordination office,coordination office,Beddle,Buno Beddele zone,Oromia,8.45261,36.355588,963-38-68-44,Bacha Birhanu,bacha.birhanu@redcrosseth.org,2010,1,2226,23,73009
Horoguduru wollega,coordination office,Shambu,Horoguduru wollega,Oromia,9.568043,37.10137,912-37-82-57,Tadele Dheresa,tadele.dheresa@redcrosseth.org,2012,0,206,4,803582
Amhara,Regional Branch ,Bahir Dar,Bahir Dar,Amhara,11.588249,37.385806,918-72-85-27,Shambel Wale,shambel.wale@redcrosseth.org,2005,,42,,311724
East Gojjam,Zonal Branch,Debremarkos,East Gojjam,Amhara,10.337215,37.731744,918-27-02-71,Berhanu Temesgen,berhanu.temesgen@redcrosse.org,1978,,1722,,2539491
W/Gojjam,Zonal Branch,Fenote selam ,W/Gojjam,Amhara,10.680354,37.259324,918-05-88-08,Yazachew Yemane,yazachew.yemane@redcrosseth.org,1973,,1271,,3780447
S/ Gondar,Zonal Branch,Debre tabor,S/ Gondar,Amhara,11.857381,38.00729,967-77-03-83,Abebaw Brihanu,abebaw.brihanu@redcrosseth,1985,,316,,2435345
N/Gondar,Zonal Branch,Gondar,N/Gondar,Amhara,12.609925,37.465206,918-70-84-333,Atalel Tarekegn,atalel.tarekegn@redcrosseth.org,1973,,606,,3704740
N/Wollo,Zonal Branch,weldiya,N/Wollo+ Waghimra,Amhara,11.826216,39.592513,921-63-68-98,Leulseged Sisay,leulseged.sisay@redcrosseth.org,1984,,369,,2211555
S/Wollo,Zonal Branch,Dessie ,S/Wollo+Oromia,Amhara,11.118184,39.632496,911-03-73-17,Melaku chekol,melaku.chekol@redcrosseth.org,1968,,1103,,3634801
N/Shoa,Zonal Branch,Debre Berhan ,N/Shoa,Amhara,9.677914,39.533397,,Demitew Emishaw,damitew.emishaw@redcrosseth.org ,1978,,1177,,2151896
SNNPR,Regional Branch ,Hawasa ,Hawasa ,SNNPE,7.050375,38.485269,462-208516,Ibrahim Temam,ibrahim.temam@redcrosseth.org,,,,,
Welaita,Zonal Branch,Sodo,Welaita,SNNPE,6.82292,37.75026,911-73-21-64,Seifu Worku,seifu.worku@redcrosseth.org,1976,,612,,1641922
Hadiya,Zonal Branch,Hossana,Hadiya,SNNPE,7.549685,37.855545,912-30-21-78,Kefyalew Kassa,kefyalew.kassa@redcrosseth.org,1979,,,,1711091
Kembata Tambaro,Zonal Branch,Durame,Kembata Tambaro,SNNPE,7.245017,37.906837,911-53-36-78,Abebe Dotamo,abebe.dotamo@redcrosseth.org,1985,,497,,895570
South Omo,Zonal Branch,Jinkaa,South Omo,SNNPE,5.790951,36.569262,916-71-16-21,Akna Akata,akna.akata@redcrosseth.org,1982,,667,,790798
Gurage,Zonal Branch,Wolkite,Gurage,SNNPE,8.29355,37.78532,913-25-64-84,mussie bekele,mussie.bekele@redcrosseth.org,1998,,1998,,1500000
Bench Maji ,Zonal Branch,Mizan Tefar,Bench Maji ,SNNPE,6.997347,35.589919,913-01-10-02,Fikadu Ejeta,fikadu.ejeta@redcrosseth.org,1982,,1982,,652531
Gamugofa,Zonal Branch,Arba Minch,Gamugofa,SNNPE,6.03576,37.55903,913-28-90-76,Sileshi Sisay,sileshi.sisay@redcrosseth.org,1969,,1969,,1736236
Siltie Zone,Zonal Branch,Werabe,Siltie Zone,SNNPE,7.853674,38.187753,911-57-07-44,Muhaba Hussen,muhaba.hussen@redcrosseth.org,2003,,2003,,852253
Halaba Sp. Woreda,Zonal Branch,Kulito,Halaba Special zone,SNNPE,7.312235,38.091075,926-99-34-06,Neima Mohammed,neima.mohammed@redcrosseth.org,2002,,172,,500000
Gedeo Zone,Zonal Branch,Dilla,Gedeo Zone,SNNPE,6.414358,38.311997,916428457,Wondwosen Daka,Wondwosen.Daka@redcrosseth.org,1976,,1976,,1000000
Basketo,Zonal Branch,lesaka,Basketo,SNNPE,6.300979,36.625883,916-70-49-66,Dandao Gebremichael,dandao.gebremichael@redcrosseth.org,,,0,,56689
Keffa,Zonal Branch,Bonga,Keffa,SNNPE,7.267499,36.246225,912-18-52-59,Alemayehu Kebede,alemayehu.kebede@redcrosseth.org,,,0,,1206004
Segen ,Zonal Branch,Konso,Segen ,SNNPE,5.339743,37.441509,912-15-28-04,Shakayto Roba,shakayto.roba@redcrosseth.org,,,,,
Tigray,Regional Branch ,Mekelle ,Mekelle ,Tigray,13.488703,39.467862,914-70-18-70,Berhanu Mekonnen,berhanu.mekonnen@redcrosseth.org,,,160,,350000
Central Tig.,Zonal Branch,Axum,Central Tig.,Tigray,14.116202,38.738561,914-74-41-99,Roman Zemichael,roman.zemichael@redcrosseth.org,2005,,3350,,1380920
Eastern Tig.,Zonal Branch,Adigrat,Eastern Tig.,Tigray,14.280581,39.4631,914 72-39-34,Berhane Alemu,berhane.alemu@redcrosseth.org,2005,,567,,958650
North West ,Zonal Branch,Shire E/sillase,North West ,Tigray,14.105801,38.288917,914-77-89-31,Tewodros Mulaw,tewodros.mulaw@redcrosseth.org,2005,,777,,950000
Southern Tig,Zonal Branch,Maychew,Southern Tig,Tigray,12.781153,39.536963,914-78-53-43,Belay Gebru,belay.gebru@redcrosseth.org,2005,,177,,1193401
Sidama ,Regional Branch ,Hawasa,Sidama ,Sidama ,6.7372,38.4008,916-02-03-47,Kibru Tilahune,kibru.tilahune@redcrosseth.org,2012,,529,,6484000
Moyale,Coordination office,Moyale ,Moyale,Oromia,3.5657,39.04264,911-77-25-69,Tsegaye Desta,tsegaye.desta@redcrosseth.org,2006,,1100,,375000
Benshangul,Regional Branch ,Asosa,Benshangul,Benshangul,10.059766,34.548199,989425639,Shebabew Assegea,shebabew.assegae@redcrosseth.org,1990,,2239,,1066001
Dire Dawa,Regional Branch ,Dire Dawa,Dire Dawa,Federal city,9.600875,41.850142,915-76-04-42,Bahar Adem,bahar.adem@redcrosseth.org,1975,1,963,,445000
Gambella,Regional Branch ,Gambella,Gambella,Gambella,8.24719,34.591597,911-11 71 54,Changkuoth David,changkuoth.david@redcrosseth.org,1982,1,202,22,446500
Harari,Regional Branch ,Harar,Harari,Harari,9.313202,42.117176,910-60-16-44,Asfaw Senbeto,asfaw.senbeto@redcrosseth.org,1974,6,120,16,270031
Afar Regional Branch,Regional Branch ,Samera,Afar Regional ,Afar Regional ,11.794974,41.009941,910-14-12-70,Ali Sualih,ali.sualih@redcrosseth.org,1985 E.C ,7,1200,23,2153000
Somali ,Regional Branch ,Jigjiga,Fafen,Somali,9.353105,42.800911,0911-97-73-95,Ahmed Abdi,ahmed.abdi@redcrosseth.org,1977,24,200,32,5148989
