serial,admin_level_0_code,admin_level_1_code,admin_level_2_code,admin_level_0_name,admin_level_1_name,admin_level_2_name,event,location,year,month,day,deaths,injured,missing,affected,houses_destroyed,houses_damaged,others,sources,losses $loc,losses $usd,date,health,education,agriculture,industry,aqueduct,sewerage,energy,communication,cause,damaged roads,magnitude,damaged hospitals,damaged education centers,damage in crops Ha.,lost cattle,evacuated,relocated,latitude,longitude,comments
30.0,230.0,230324.0,2303241299.0,PALLISA,KAKORO,KAITISYA,HAILSTORM,,2011,9,14,0,0,0,0,0,0,,Report on Destruction Caused by El-Nino Rains in Pallisa District,0,0,2011-09-14,0,0,-1,0,0,0,0,0,El Niño,0,,0,0,15.38,0,0,0,0.0,0.0,"15.38 Ha of cassava, cotton, maize and beans destroyed."
31.0,230.0,230324.0,2303241278.0,PALLISA,KAKORO,KASAJJA,HAILSTORM,,2011,9,14,0,0,0,0,0,0,,Report on Destruction Caused by El-Nino Rains in Pallisa District,0,0,2011-09-14,0,0,-1,0,0,0,0,0,El Niño,0,,0,0,0.0,0,0,0,0.0,0.0,"15.38 Ha of cassava, cotton, maize and beans destroyed.
NB: This figure was captured in the Pallisa District, Kakoro Sub- county, Kaitisya Parish data card."
32.0,230.0,230323.0,2303231337.0,PALLISA,KABWANGASI,PUTTI,HAILSTORM,,2011,9,14,0,0,0,0,0,0,,Report on Destruction Caused by El-Nino Rains in Pallisa District,0,0,2011-09-14,0,0,-1,0,0,0,0,0,El Niño,0,,0,0,11.74,0,0,0,0.0,0.0,"11.74 Ha of cassava, maize, beans and cotton was destroyed by the resulting water logging."
33.0,230.0,230323.0,2303231288.0,PALLISA,KABWANGASI,KACHURU,HAILSTORM,,2011,9,14,0,0,0,0,0,0,,Report on Destruction Caused by El-Nino Rains in Pallisa District,0,0,2011-09-14,0,0,-1,0,0,0,0,0,El Niño,0,,0,0,0.0,0,0,0,0.0,0.0,"11.74 Ha of cassava, beans, maize and cotton was destroyed by the resulting water logging.
NB: This figure was captured in the Pallisa District, Kabwangasi Sub-county, Putti Parish data card."
34.0,230.0,230322.0,2303221198.0,PALLISA,BUTEBO,KANYUM,HAILSTORM,,2011,9,14,0,0,0,0,0,0,,Report on Destruction Caused by El-Nino Rains in Pallisa District,0,0,2011-09-14,0,0,-1,0,0,0,0,0,El Niño,0,,0,0,11.74,0,0,0,0.0,0.0,"6.88 Ha of cassava, sorghum and sweet potatoes destroyed.
4.86 Ha of beans destroyed."
35.0,230.0,230322.0,2303221218.0,PALLISA,BUTEBO,KASIEBAI,HAILSTORM,,2011,9,14,0,0,0,0,0,0,1 Pentecostal Church was de-roofed.,Report on Destruction Caused by El-Nino Rains in Pallisa District,0,0,2011-09-14,0,0,-1,0,0,0,0,0,El Niño,0,,0,0,7.7,0,0,0,0.0,0.0,"7.7 Ha of cassava, maize and beans destroyed."
36.0,230.0,230322.0,2303225251.0,PALLISA,BUTEBO,BUTEBO,HAILSTORM,,2011,9,14,0,0,0,0,10,0,1 Teacher's House in Butebo Primary School de-roofed.,Report on Destruction Caused by El-Nino Rains in Pallisa District,0,0,2011-09-14,-1,-1,-1,0,0,0,0,0,,0,,1,1,13.76,0,0,0,0.0,0.0,"Matakokore Health Aid Post de-roofed.
13.76 Ha of cotton, maize and sweet potatoes destroyed."
38.0,230.0,230325.0,2303251173.0,PALLISA,KIBALE,KAPUWAI,HAILSTORM,,2011,9,14,0,0,0,0,21,0,,Report on Destruction Caused by El-Nino Rains in Pallisa District,0,0,2011-09-14,0,-1,-1,0,0,0,0,0,El Niño,0,,0,1,27.52,0,0,0,0.0,0.0,"A four-classroom block at Abia Primary School was de-roofed.
27.52 Ha of cassava, maize, cotton and sweet potatoes were destroyed."
39.0,230.0,230337.0,,PALLISA,KAMEKE,,STORM,,2011,4,7,0,11,0,0,22,42,,Letter Ref: CR/1061/1 from CAO,0,0,2011-09-14,0,-1,0,0,0,0,0,0,,0,,0,2,0.0,0,0,0,0.0,0.0,"A two-classroom block was destroyed in one school and in another, a six-classroom block was damaged.
Other sub-counties affected included: Agule, Butebo and Kamuge.
Villages affected incluled: Oboliso, Omotoi, Boliso, Bugwere, Nyakoi, Komollo B, Pasia, Kachaboi, Kachinga, Kasyebai,and  Boliso II."
40.0,230.0,230334.0,,PALLISA,AGULE,,STORM,,2011,4,7,0,0,0,0,0,0,,Letter Ref: CR/1061/1 from CAO,0,0,2011-09-14,0,-1,-1,0,0,0,0,0,,0,,0,0,0.0,0,0,0,0.0,0.0,"A two-classroom block was destroyed in one school and in another, a six-classroom block was damaged.
Other sub-counties affected included: Kameke, Butebo and Kamuge.
Villages affected incluled: Oboliso, Omotoi, Boliso, Bugwere, Nyakoi, Komollo B, Pasia, Kachinga, Kachaboi, Kasyebai and Boliso II.
A total of 44 hoseholds were affected. This figure is captured in the Pallisa District, Kameke Sub-county data card."
41.0,230.0,230322.0,,PALLISA,BUTEBO,,STORM,,2011,4,7,0,0,0,0,0,0,,Letter Ref: CR/1061/1 from CAO,0,0,2011-09-14,0,-1,-1,0,0,0,0,0,,0,,0,0,0.0,0,0,0,0.0,0.0,"A two-classroom block was destroyed in one school and in another, a six-classroom block was damaged.
Other sub-counties affected included: Agule, Kameke and Kamuge.
Villages affected incluled: Oboliso, Omotoi, Boliso, Bugwere, Nyakoi, Komollo B, Pasia, Kachinga, Kachaboi, Kasyebai and Boliso II.
A total of 44 hoseholds were affected. This figure is captured in the Pallisa District, Kameke Sub-county data card."
42.0,230.0,230342.0,,PALLISA,KAMUGE,,STORM,,2011,4,7,0,0,0,0,0,0,,Letter Ref: CR/1061/1 from CAO,0,0,2011-09-14,0,-1,-1,0,0,0,0,0,,0,,0,0,0.0,0,0,0,0.0,0.0,"A two-classroom block was destroyed in one school and in another, a six-classroom block was damaged.
Other sub-counties affected included: Agule, Butebo and Kameke.
Villages affected incluled: Oboliso, Omotoi, Boliso, Bugwere, Nyakoi, Komollo B, Pasia, Kachinga, Kachaboi, Kasyebai and Boliso II.
A total of 44 hoseholds were affected. This figure is captured in the Pallisa District, Kameke Sub-county data card."
43.0,230.0,230326.0,2303261314.0,PALLISA,PETETE,SIDANYI,HAILSTORM,,2010,10,29,0,0,0,0,0,0,,"letter Ref: COU/201/2 from District Chairperson, Pallisa",0,0,2011-09-14,0,0,-1,0,0,0,0,0,Heavy Rain,0,,0,0,0.0,0,0,0,0.0,0.0,"Many people wre displaced as their homes were destroyed.
Several acres of crops were destroyed, resulting into food shortage.
The District Disaster Committee was to compile a list of the affected families and the extent of the damage at household level to be ready by 5/11/2010 but no report was attached to the letter."
44.0,230.0,230326.0,2303261260.0,PALLISA,PETETE,KAPUNYASI,HAILSTORM,,2010,10,29,0,0,0,0,0,0,,"letter Ref: COU/201/2 from District Chairperson, Pallisa",0,0,2011-09-14,0,0,-1,0,0,0,0,0,Heavy Rain,0,,0,0,0.0,0,0,0,0.0,0.0,"Many people wre displaced as their homes were destroyed.
Several acres of crops were destroyed, resulting into food shortage.
The District Disaster Committee was to compile a list of the affected families and the extent of the damage at household level to be ready by 5/11/2010 but no report was attached to the letter."
154.0,401.0,401699.0,4016992161.0,BUNDIBUGYO,KASITU,KASITU,LANDSLIDE,,2001,11,2,18,12,0,3356,0,0,,Brief on Disaster Situation in Uganda dated 11/03/02,0,0,2011-09-15,0,0,0,0,0,0,0,0,,0,,0,0,0.0,0,0,2000,0.0,0.0,
45.0,230.0,230326.0,2303261303.0,PALLISA,PETETE,KACHABALI,HAILSTORM,,2010,10,29,0,0,0,0,0,0,,"letter Ref: COU/201/2 from District Chairperson, Pallisa",0,0,2011-09-14,0,0,-1,0,0,0,0,0,,0,,0,0,0.0,0,0,0,0.0,0.0,"Many people wre displaced as their homes were destroyed.
Several acres of crops were destroyed, resulting into food shortage.
The District Disaster Committee was to compile a list of the affected families and the extent of the damage at household level to be ready by 5/11/2010 but no report was attached to the letter."
47.0,210.0,210330.0,2103301489.0,KIBUKU,KADAMA,NANDERE,HAILSTORM,,2009,10,17,0,0,0,20000,18,0,Many domestic animals and birds were killed.,letter Ref: MSW/01/09 from Minister of State for water dated 19/10/09,0,0,2011-09-14,-1,0,-1,0,0,0,0,0,Heavy Rain,0,,0,0,0.0,0,0,0,0.0,0.0,"All the gardens in the area were destroyed.
Starvation and health related threats have been reported.
Affected villages       No.of Destroyed houses 
1. Buluba                   5
2. Nandere                  3
3. Bulabya                  6
4. Katyaime                 2
5. Mavungo                  2"
48.0,310.0,310589.0,3105890903.0,NEBBI,WADELAI,PAKWINYO,FLOOD,,2011,9,14,0,0,0,3000,150,0,,"Article in the Online Daily Monitor: Floods displace 3,000 in Nebbi by Patrick Okaba and Felix Worom Okello",0,0,2011-09-14,-1,-1,-1,0,0,0,0,0,Heavy Rain,-1,,0,0,0.0,0,0,0,0.0,0.0,"The heavy rains caused River Ora to burst its banks sending water gushing into the low-lying areas of Wadelai Sub-county.
Total number of affected villages is 20.
Ojigo Road has been rendered impassable, making residents of Pakwinyo Parish unable to access health centres and schools."
49.0,328.0,328595.0,3285951082.0,ZOMBO,PAIDHA TC,OTURGANG,STORM,Oturgang Girls' Primary School,2010,2,8,0,0,0,0,0,0,Materials for the Thematic Curriculum,letter Ref: 01/02/2010 from the Head Teacher Oturgang Girls' Primary School,0,0,2011-09-14,0,-1,0,0,0,0,0,0,,0,,0,1,0.0,0,0,0,0.0,0.0,"The strom blew off the roof of a four-classroom block that was accomodating the infant classes of two streams  P1 A & B and P2 A & B.
The pupils affected were between the ages of 6-9 yrs."
51.0,215.0,215411.0,,BULAMBULI,SISIYI,,LANDSLIDE,,2011,8,28,26,0,4,0,0,17,,Assessment report by OPM dated 31/08/2011,0,0,2011-09-14,0,0,-1,0,0,0,0,0,Heavy Rain,0,,0,0,0.0,0,0,0,0.0,0.0,Both subcounties of Sisiyi and Buluganya had 26 deaths and many affected.
52.0,232.0,,,SIRONKO,,,LANDSLIDE,,2010,5,12,3,0,0,6000,0,0,,Cabinet paper by min of state disaster preparedness dated 26/05/10 ref: opm/dm/92,0,0,2011-09-14,0,0,-1,0,0,0,0,0,Heavy Rain,0,,0,0,0.0,0,0,0,0.0,0.0,
50.0,310.0,310588.0,3105881036.0,NEBBI,PANYANGO,ALWI,DROUGHT,,2009,6,19,0,0,0,9542,0,0,,"letter from LCV Chairman, Nebbi",0,0,2011-09-14,-1,0,-1,0,0,0,0,0,La Niña,0,,0,0,0.0,0,0,0,0.0,0.0,"Crops and seeds have been affected, resulting to food shortages.
Malnutrition cases especially among children, the elderly, pregnant mothers and people with disabilities have increased.
Limited acreage of food crops are under cultivation due to the polonged dry spell.
Cassava, the staple food is available in isolated localities in Panyago and Wadelai Sub-counties.
Increased theft of food stuff (in the fields and households) as well as livestock is rampant.
Areas in Jonam and parts of Padyere Counties continued to experience the dry spell."
53.0,310.0,310589.0,3105895428.0,NEBBI,WADELAI,MUTIR,DROUGHT,,2009,6,19,0,0,0,5768,0,0,,"letter from LCV Chairman, Nebbi",0,0,2011-09-14,-1,0,-1,0,0,0,0,0,La Niña,0,,0,0,0.0,0,0,0,0.0,0.0,"Crops and seeds have been affected, resulting to food shortages.
Malnutrition cases especially among children, the elderly, pregnant mothers and people with disabilities have increased.
Limited acreage of food crops are under cultivation due to the polonged dry spell.
Cassava, the staple food is available in isolated localities in Panyago and Wadelai Sub-counties.
Increased theft of food stuff (in the fields and households) as well as livestock is rampant.
Areas in Jonam and parts of Padyere Counties continued to experience the dry spell."
54.0,310.0,310588.0,3105881047.0,NEBBI,PANYANGO,PACEGO,DROUGHT,,2006,6,19,0,0,0,10000,0,0,,"letter from LCV Chairman, Nebbi",0,0,2011-09-14,-1,0,-1,0,0,0,0,0,La Niña,0,,0,0,0.0,0,0,0,0.0,0.0,"Crops and seeds have been affected, resulting to food shortages.
Malnutrition cases especially among children, the elderly, pregnant mothers and people with disabilities have increased.
Limited acreage of food crops are under cultivation due to the polonged dry spell.
Cassava, the staple food is available in isolated localities in Panyago and Wadelai Sub-counties.
Increased theft of food stuff (in the fields and households) as well as livestock is rampant.
Areas in Jonam and parts of Padyere Counties continued to experience the dry spell."
55.0,310.0,310588.0,3105881017.0,NEBBI,PANYANGO,PAKIA,DROUGHT,,2009,6,19,0,0,0,5171,0,0,,"letter from LCV Chairman, Nebbi",0,0,2011-09-14,-1,0,-1,0,0,0,0,0,La Niña,0,,0,0,0.0,0,0,0,0.0,0.0,"Crops and seeds have been affected, resulting to food shortages.
Malnutrition cases especially among children, the elderly, pregnant mothers and people with disabilities have increased.
Limited acreage of food crops are under cultivation due to the polonged dry spell.
Cassava, the staple food is available in isolated localities in Panyago and Wadelai Sub-counties.
Increased theft of food stuff (in the fields and households) as well as livestock is rampant.
Areas in Jonam and parts of Padyere Counties continued to experience the dry spell."
2714.0,411.0,411872.0,4118722727.0,NTUNGAMO,NGOMA,NYAKARIRO,STORM,,2014,10,17,0,0,0,510,0,0,,Ntungamo DLG,0,0,2016-11-02,0,0,-1,0,0,0,0,0,Heavy Rain,0,,0,0,0.0,0,0,0,0.0,0.0,Eighty five families affected and crops destroyed
3315.0,104.0,,,LUWERO,,,STORM,Bukolwa C/U P.S,2015,5,1,0,0,0,0,0,0,,District Education Officer,0,0,2017-07-05,0,-1,0,0,0,0,0,0,,0,,0,0,0.0,0,0,0,0.0,0.0,Assistance Needed
56.0,310.0,310588.0,3105885431.0,NEBBI,PANYANGO,POKWERO,DROUGHT,,2009,6,19,0,0,0,11585,0,0,,"letter from LCV Chairman, Nebbi",0,0,2011-09-14,-1,0,-1,0,0,0,0,0,La Niña,0,,0,0,0.0,0,0,0,0.0,0.0,"Crops and seeds have been affected, resulting to food shortages.
Malnutrition cases especially among children, the elderly, pregnant mothers and people with disabilities have increased.
Limited acreage of food crops are under cultivation due to the polonged dry spell.
Cassava, the staple food is available in isolated localities in Panyago and Wadelai Sub-counties.
Increased theft of food stuff (in the fields and households) as well as livestock is rampant.
Areas in Jonam and parts of Padyere Counties continued to experience the dry spell."
57.0,310.0,310589.0,3105890903.0,NEBBI,WADELAI,PAKWINYO,DROUGHT,,2009,6,19,0,0,0,5736,0,0,,"letter from LCV Chairman, Nebbi",0,0,2011-09-14,-1,0,-1,0,0,0,0,0,La Niña,0,,0,0,0.0,0,0,0,0.0,0.0,"Crops and seeds have been affected, resulting to food shortages.
Malnutrition cases especially among children, the elderly, pregnant mothers and people with disabilities have increased.
Limited acreage of food crops are under cultivation due to the polonged dry spell.
Cassava, the staple food is available in isolated localities in Panyago and Wadelai Sub-counties.
Increased theft of food stuff (in the fields and households) as well as livestock is rampant.
Areas in Jonam and parts of Padyere Counties continued to experience the dry spell."
58.0,310.0,310589.0,3105895430.0,NEBBI,WADELAI,RAGEM,DROUGHT,,2009,6,19,0,0,0,6001,0,0,,"letter from LCV Chairman, Nebbi",0,0,2011-09-14,-1,0,-1,0,0,0,0,0,La Niña,0,,0,0,0.0,0,0,0,0.0,0.0,"Crops and seeds have been affected, resulting to food shortages.
Malnutrition cases especially among children, the elderly, pregnant mothers and people with disabilities have increased.
Limited acreage of food crops are under cultivation due to the polonged dry spell.
Cassava, the staple food is available in isolated localities in Panyago and Wadelai Sub-counties.
Increased theft of food stuff (in the fields and households) as well as livestock is rampant.
Areas in Jonam and parts of Padyere Counties continued to experience the dry spell."
59.0,310.0,310954.0,3109542841.0,NEBBI,PAKWACH,ATIAK,DROUGHT,,2009,6,19,0,0,0,7316,0,0,,"letter from LCV Chairman, Nebbi",0,0,2011-09-14,-1,0,-1,0,0,0,0,0,La Niña,0,,0,0,0.0,0,0,0,0.0,0.0,"Crops and seeds have been affected, resulting to food shortages.
Malnutrition cases especially among children, the elderly, pregnant mothers and people with disabilities have increased.
Limited acreage of food crops are under cultivation due to the polonged dry spell.
Cassava, the staple food is available in isolated localities in Panyago and Wadelai Sub-counties.
Increased theft of food stuff (in the fields and households) as well as livestock is rampant.
Areas in Jonam and parts of Padyere Counties continued to experience the dry spell."
60.0,310.0,310954.0,3109542850.0,NEBBI,PAKWACH,MUKALE,DROUGHT,,2009,6,19,0,0,0,5048,0,0,,"letter from LCV Chairman, Nebbi",0,0,2011-09-14,-1,0,-1,0,0,0,0,0,La Niña,0,,0,0,0.0,0,0,0,0.0,0.0,"Crops and seeds have been affected, resulting to food shortages.
Malnutrition cases especially among children, the elderly, pregnant mothers and people with disabilities have increased.
Limited acreage of food crops are under cultivation due to the polonged dry spell.
Cassava, the staple food is available in isolated localities in Panyago and Wadelai Sub-counties.
Increased theft of food stuff (in the fields and households) as well as livestock is rampant.
Areas in Jonam and parts of Padyere Counties continued to experience the dry spell."
61.0,310.0,310954.0,3109545436.0,NEBBI,PAKWACH,PAROKETO,DROUGHT,,2009,6,19,0,0,0,6815,0,0,,"letter from LCV Chairman, Nebbi",0,0,2011-09-14,-1,0,-1,0,0,0,0,0,La Niña,0,,0,0,0.0,0,0,0,0.0,0.0,"Crops and seeds have been affected, resulting to food shortages.
Malnutrition cases especially among children, the elderly, pregnant mothers and people with disabilities have increased.
Limited acreage of food crops are under cultivation due to the polonged dry spell.
Cassava, the staple food is available in isolated localities in Panyago and Wadelai Sub-counties.
Increased theft of food stuff (in the fields and households) as well as livestock is rampant.
Areas in Jonam and parts of Padyere Counties continued to experience the dry spell."
62.0,310.0,310587.0,3105871060.0,NEBBI,PAKWACH TC,AMOR,DROUGHT,,2009,6,19,0,0,0,7956,0,0,,"letter from LCV Chairman, Nebbi",0,0,2011-09-14,-1,0,-1,0,0,0,0,0,La Niña,0,,0,0,0.0,0,0,0,0.0,0.0,"Crops and seeds have been affected, resulting to food shortages.
Malnutrition cases especially among children, the elderly, pregnant mothers and people with disabilities have increased.
Limited acreage of food crops are under cultivation due to the polonged dry spell.
Cassava, the staple food is available in isolated localities in Panyago and Wadelai Sub-counties.
Increased theft of food stuff (in the fields and households) as well as livestock is rampant.
Areas in Jonam and parts of Padyere Counties continued to experience the dry spell."
63.0,310.0,310587.0,3105871067.0,NEBBI,PAKWACH TC,POVUNGU,DROUGHT,,2009,6,19,0,0,0,12880,0,0,,"letter from LCV Chairman, Nebbi",0,0,2011-09-14,-1,0,-1,0,0,0,0,0,La Niña,0,,0,0,0.0,0,0,0,0.0,0.0,"Crops and seeds have been affected, resulting to food shortages.
Malnutrition cases especially among children, the elderly, pregnant mothers and people with disabilities have increased.
Limited acreage of food crops are under cultivation due to the polonged dry spell.
Cassava, the staple food is available in isolated localities in Panyago and Wadelai Sub-counties.
Increased theft of food stuff (in the fields and households) as well as livestock is rampant.
Areas in Jonam and parts of Padyere Counties continued to experience the dry spell."
64.0,310.0,310953.0,3109535559.0,NEBBI,PANYIMUR,BARO,DROUGHT,,2009,6,19,0,0,0,7179,0,0,,"letter from LCV Chairman, Nebbi",0,0,2011-09-14,-1,0,-1,0,0,0,0,0,La Niña,0,,0,0,0.0,0,0,0,0.0,0.0,"Crops and seeds have been affected, resulting to food shortages.
Malnutrition cases especially among children, the elderly, pregnant mothers and people with disabilities have increased.
Limited acreage of food crops are under cultivation due to the polonged dry spell.
Cassava, the staple food is available in isolated localities in Panyago and Wadelai Sub-counties.
Increased theft of food stuff (in the fields and households) as well as livestock is rampant.
Areas in Jonam and parts of Padyere Counties continued to experience the dry spell."
65.0,310.0,310953.0,3109532899.0,NEBBI,PANYIMUR,GANDA,DROUGHT,,2009,6,19,0,0,0,6365,0,0,,"letter from LCV Chairman, Nebbi",0,0,2011-09-14,-1,0,-1,0,0,0,0,0,La Niña,0,,0,0,0.0,0,0,0,0.0,0.0,"Crops and seeds have been affected, resulting to food shortages.
Malnutrition cases especially among children, the elderly, pregnant mothers and people with disabilities have increased.
Limited acreage of food crops are under cultivation due to the polonged dry spell.
Cassava, the staple food is available in isolated localities in Panyago and Wadelai Sub-counties.
Increased theft of food stuff (in the fields and households) as well as livestock is rampant.
Areas in Jonam and parts of Padyere Counties continued to experience the dry spell."
66.0,310.0,310953.0,3109535565.0,NEBBI,PANYIMUR,NYAKAGEI,FLOOD,,2009,6,19,0,0,0,11278,0,0,,"letter from LCV Chairman, Nebbi",0,0,2011-09-14,-1,0,-1,0,0,0,0,0,La Niña,0,,0,0,0.0,0,0,0,0.0,0.0,"Crops and seeds have been affected, resulting to food shortages.
Malnutrition cases especially among children, the elderly, pregnant mothers and people with disabilities have increased.
Limited acreage of food crops are under cultivation due to the polonged dry spell.
Cassava, the staple food is available in isolated localities in Panyago and Wadelai Sub-counties.
Increased theft of food stuff (in the fields and households) as well as livestock is rampant.
Areas in Jonam and parts of Padyere Counties continued to experience the dry spell."
67.0,328.0,328590.0,3285900921.0,ZOMBO,ATYAK,ANGOL,DROUGHT,,2009,6,19,0,0,0,4348,0,0,,"letter from LCV Chairman, Nebbi",0,0,2011-09-14,-1,0,-1,0,0,0,0,0,La Niña,0,,0,0,0.0,0,0,0,0.0,0.0,"Crops and seeds have been affected, resulting to food shortages.
Malnutrition cases especially among children, the elderly, pregnant mothers and people with disabilities have increased.
Limited acreage of food crops are under cultivation due to the polonged dry spell.
Cassava, the staple food is available in isolated localities in Panyago and Wadelai Sub-counties.
Increased theft of food stuff (in the fields and households) as well as livestock is rampant.
Areas in Jonam and parts of Padyere Counties continued to experience the dry spell."
68.0,328.0,328590.0,3285900966.0,ZOMBO,ATYAK,ANYOLA,DROUGHT,,2009,6,19,0,0,0,5742,0,0,,"letter from LCV Chairman, Nebbi",0,0,2011-09-14,-1,0,-1,0,0,0,0,0,La Niña,0,,0,0,0.0,0,0,0,0.0,0.0,"Crops and seeds have been affected, resulting to food shortages.
Malnutrition cases especially among children, the elderly, pregnant mothers and people with disabilities have increased.
Limited acreage of food crops are under cultivation due to the polonged dry spell.
Cassava, the staple food is available in isolated localities in Panyago and Wadelai Sub-counties.
Increased theft of food stuff (in the fields and households) as well as livestock is rampant.
Areas in Jonam and parts of Padyere Counties continued to experience the dry spell."
69.0,328.0,328590.0,3285900960.0,ZOMBO,ATYAK,PAMACH,DROUGHT,,2009,6,19,0,0,0,2178,0,0,,"letter from LCV Chairman, Nebbi",0,0,2011-09-14,-1,0,-1,0,0,0,0,0,La Niña,0,,0,0,0.0,0,0,0,0.0,0.0,"Crops and seeds have been affected, resulting to food shortages.
Malnutrition cases especially among children, the elderly, pregnant mothers and people with disabilities have increased.
Limited acreage of food crops are under cultivation due to the polonged dry spell.
Cassava, the staple food is available in isolated localities in Panyago and Wadelai Sub-counties.
Increased theft of food stuff (in the fields and households) as well as livestock is rampant.
Areas in Jonam and parts of Padyere Counties continued to experience the dry spell."
70.0,328.0,,,ZOMBO,,,DROUGHT,"WARR SUB-COUNTY, JULOKA PARISH",2009,6,19,0,0,0,6905,0,0,,"letter from LCV Chairman, Nebbi",0,0,2011-09-14,-1,0,-1,0,0,0,0,0,La Niña,0,,0,0,0.0,0,0,0,0.0,0.0,"Crops and seeds have been affected, resulting to food shortages.
Malnutrition cases especially among children, the elderly, pregnant mothers and people with disabilities have increased.
Limited acreage of food crops are under cultivation due to the polonged dry spell.
Cassava, the staple food is available in isolated localities in Panyago and Wadelai Sub-counties.
Increased theft of food stuff (in the fields and households) as well as livestock is rampant.
Areas in Jonam and parts of Padyere Counties continued to experience the dry spell."
