,date,subregion,district,county,subcounty,sentence,article_title,article_url
13,2017-04-24,,GULU,,PECE,"With nothing from the two dams reaching the 6,235 cubic meter storage facilities in Boma, Pece, Army barracks, Customs Corner and Lacor, the figure being produced from the three boreholes is just a drop in sinks and latrines, as institutions such as Gulu Hospital take up to 14,000 liters daily.  ",Persistent drought dries up Dam in Gulu,https://capitalradio.co.ug/persistent-drought-dries-dam-gulu/
14,2017-04-24,,GULU,,BUNGATIRA,"In the meantime, underground search has identified five new sites in Aworanga, Bungatira and Bank Lane, behind Hotel Kakanyero in the heart of Gulu Town.",Persistent drought dries up Dam in Gulu,https://capitalradio.co.ug/persistent-drought-dries-dam-gulu/
15,2017-04-24,,"KAMPALA, GULU",,,"Martin Ojara Mapenduzi, the Gulu LC V chairperson says a long term adaptation project will draw water from Nile River, located some 74Kilometers on Gulu  Kampala highway.  ",Persistent drought dries up Dam in Gulu,https://capitalradio.co.ug/persistent-drought-dries-dam-gulu/
16,2017-04-24,,"OMORO, OYAM",,"MINAKULU, BOBI, KAMDINI","Francis Owot says the Karuma water works will also supply other towns in the region including Kamdini, Minakulu and Bobi.   URN",Persistent drought dries up Dam in Gulu,https://capitalradio.co.ug/persistent-drought-dries-dam-gulu/
17,2019-04-30,ACHOLI,"OMORO, PADER, KITGUM, LAMWO, GULU, AGAGO, NWOYA, AMURU",,,Drought affects simsim production in Acholi region. ,Drought affects simsim production in Acholi region,https://www.independent.co.ug/drought-affects-simsim-production-in-acholi-region/
18,2019-04-30,,KAMPALA,,,"Kampala, Uganda |",Drought affects simsim production in Acholi region,https://www.independent.co.ug/drought-affects-simsim-production-in-acholi-region/
19,2019-04-30,"WEST NILE, LANGO, ACHOLI","OMORO, ARUA, OTUKE, MARACHA, PAKWACH, AMOLATAR, AGAGO, NWOYA, LAMWO, KOLE, KOBOKO, AMURU, MOYO, LIRA, PADER, ADJUMANI, KITGUM, DOKOLO, ALEBTONG, APAC, OYAM, NEBBI, GULU, ZOMBO, YUMBE, KWANIA",,,"Adverse weather conditions have placed Simsim productions in the Acholi, Lango and West Nile subregions on a steep decline.  ",Drought affects simsim production in Acholi region,https://www.independent.co.ug/drought-affects-simsim-production-in-acholi-region/
20,2019-04-30,,APAC,,APAC,"Lucy Ajok, a Simsim farmer in Apac district says changes in weather conditions is affecting production, processing and marketing of simsim produce among smallholder farmers in the district.",Drought affects simsim production in Acholi region,https://www.independent.co.ug/drought-affects-simsim-production-in-acholi-region/
21,2019-04-30,,LAMWO,LAMWO,,"Mike Atube, a Simsim farmer from Lamwo district says they have also observed similar trends among farmers in Lamwo.",Drought affects simsim production in Acholi region,https://www.independent.co.ug/drought-affects-simsim-production-in-acholi-region/
22,2019-04-30,,SERERE,SERERE,,"Dr Walter Anyanga, a crop scientist at the National Agriculture Research Organization in Serere Research Center says the decline in Simsim production amongst farmers triggered search for tolerant crop varieties of simsim that can resist drought and too much rainfall.  ",Drought affects simsim production in Acholi region,https://www.independent.co.ug/drought-affects-simsim-production-in-acholi-region/
23,2019-04-30,"WEST NILE, LANGO, ACHOLI","OMORO, ARUA, OTUKE, MARACHA, PAKWACH, AMOLATAR, AGAGO, NWOYA, LAMWO, KOLE, KOBOKO, AMURU, MOYO, LIRA, PADER, ADJUMANI, KITGUM, DOKOLO, ALEBTONG, APAC, OYAM, NEBBI, GULU, ZOMBO, YUMBE, KWANIA",,,"Simsim is a staple food amongst the Acholi, Lango and in West Nile.",Drought affects simsim production in Acholi region,https://www.independent.co.ug/drought-affects-simsim-production-in-acholi-region/
24,2016-12-12,,NAMUTUMBA,,NAMUTUMBA,"People cant die of hunger and we focus on roads, Museveni said before handing over relief items of 600 bags of maize flour (Posho) and 300 bags of beans to the district leadership in Namutumba.","Government to divert money from roads to mitigate drought, hunger",https://www.independent.co.ug/government-divert-money-roads-mitigate-drought-hunger/
25,2016-12-12,,"IGANGA, NAMUTUMBA, KALIRO, MBALE, KIBUKU",,"NAMUTUMBA, TIRINYI","The President who made on spot visits; first to Kaliro district, then to Namakoko swamp in Namutumba district and later a marathon walk across river Mpologoma on the Iganga Tirinyi Mbale road","Government to divert money from roads to mitigate drought, hunger",https://www.independent.co.ug/government-divert-money-roads-mitigate-drought-hunger/
26,5015-10-22,KARAMOJA,"ABIM, KOTIDO, NABILATUK, KABONG, NAKAPIRIPIRIT, AMUDAT, MOROTO",,,Irrigation solution to Karamoja drought  ,Irrigation solution to Karamoja drought – 93.3 KFM,http://kfm.co.ug/news/irrigation-solution-to-karamoja-drought.html
27,5015-10-22,KARAMOJA,"ABIM, KOTIDO, NABILATUK, KABONG, NAKAPIRIPIRIT, AMUDAT, MOROTO",,,As hunger continues to ravage people in Karamoja region government has been urged to support development of irrigation schemes in the area.  ,Irrigation solution to Karamoja drought – 93.3 KFM,http://kfm.co.ug/news/irrigation-solution-to-karamoja-drought.html
28,5015-10-22,KARAMOJA,"ABIM, KOTIDO, NABILATUK, KABONG, NAKAPIRIPIRIT, AMUDAT, MOROTO",,,", Helen Kasujja says the people of Karamoja are the hardest hit because of long dry spell which often destroys plantations.  ",Irrigation solution to Karamoja drought – 93.3 KFM,http://kfm.co.ug/news/irrigation-solution-to-karamoja-drought.html
29,5015-10-22,,NAPAK,,,Several elderly persons and children have reportedly starved to death inMoroto and Napak districts.  ,Irrigation solution to Karamoja drought – 93.3 KFM,http://kfm.co.ug/news/irrigation-solution-to-karamoja-drought.html
30,5015-10-22,,"ALEBTONG, MOROTO",MOROTO,"NADUNGET, RUPA, TAPAC","Some of the most affected sub counties in Moroto include Rupa, Katikeikile, Tapac and Nadunget.",Irrigation solution to Karamoja drought – 93.3 KFM,http://kfm.co.ug/news/irrigation-solution-to-karamoja-drought.html
31,2017-11-01,,NAKASONGOLA,,,Thousands of goats and cows at risk of death as prolonged drought hits Nakasongola. ,Thousands of goats and cows at risk of death as prolonged drought hits Nakasongola,https://matookerepublic.com/2017/01/11/thousands-of-goats-and-cows-at-risk-of-death-as-prolonged-drought-hits-nakasongola/
32,2017-11-01,,NAKASONGOLA,,,Drought hit farmers and pastoralists in Nakasongola are living in danger of losing it all.  ,Thousands of goats and cows at risk of death as prolonged drought hits Nakasongola,https://matookerepublic.com/2017/01/11/thousands-of-goats-and-cows-at-risk-of-death-as-prolonged-drought-hits-nakasongola/
33,2019-04-18,,BUKWO,,BUKWO,Looming Drought In Bukwo District. ,Looming Drought In Bukwo District,https://nbs.ug/2019/04/18/looming-drought-in-bukwo-district/
34,2019-04-18,,BUKWO,,BUKWO,Authorities in Bukwo district have advised farmers to consume their food sparingly.,Looming Drought In Bukwo District,https://nbs.ug/2019/04/18/looming-drought-in-bukwo-district/
35,2019-04-18,,BUKWO,,BUKWO,Bukwo has for months not received any rains a situation that could be attributed to deforestation that has left the area bare.,Looming Drought In Bukwo District,https://nbs.ug/2019/04/18/looming-drought-in-bukwo-district/
36,2017-10-01,BUSOGA,"JINJA, IGANGA, MAYUGE, BUGIRI, LUUKA, BUYENDE, NAMAYINGO, NAMUTUMBA, KALIRO, BUGWERI, KAMULI",,,Devastating Drought Hits Busoga. ,Devastating Drought Hits Busoga,https://nbs.ug/2017/01/10/devastating-drought-hits-busoga/
37,2017-10-01,BUSOGA,"JINJA, IGANGA, MAYUGE, BUGIRI, LUUKA, BUYENDE, NAMAYINGO, NAMUTUMBA, KALIRO, BUGWERI, KAMULI",,,"As more parts of the country face drought, in Busoga some residents have been drive to sell off their property including animals to buy foodstuffs.",Devastating Drought Hits Busoga,https://nbs.ug/2017/01/10/devastating-drought-hits-busoga/
38,2017-10-01,,LUUKA,LUUKA,WAIBUGA,NBS TV visited some of these gardens in Waibuga sub county in Luuka district and found fields with withered crop.,Devastating Drought Hits Busoga,https://nbs.ug/2017/01/10/devastating-drought-hits-busoga/
39,2019-07-22,KARAMOJA,"ABIM, KOTIDO, NABILATUK, KABONG, NAKAPIRIPIRIT, AMUDAT, MOROTO",,,Usaid Assesses Karamoja Drought. ,Usaid Assesses Karamoja Drought,https://www.newvision.co.ug/new_vision/news/1270256/usaid-assesses-karamoja-drought
40,2019-07-22,KARAMOJA,"ABIM, KOTIDO, NABILATUK, KABONG, NAKAPIRIPIRIT, AMUDAT, MOROTO",,,USAID assesses Karamoja drought By Vision Reporter  ,Usaid Assesses Karamoja Drought,https://www.newvision.co.ug/new_vision/news/1270256/usaid-assesses-karamoja-drought
41,2019-07-22,KARAMOJA,"ABIM, KOTIDO, NABILATUK, KABONG, NAKAPIRIPIRIT, AMUDAT, MOROTO",,,THE United States Agency for International Development (USAID) has embarked on a drought assessment exercise in the Karamoja region  James Odong.  ,Usaid Assesses Karamoja Drought,https://www.newvision.co.ug/new_vision/news/1270256/usaid-assesses-karamoja-drought
42,2019-07-22,,KABONG,,KALAPATA,"In a press release yesterday, USAID said, The WFP food aid is targeted to the most vulnerable families, with the exception of Kalapata sub county where general food distributions to the entire population have begun.    ",Usaid Assesses Karamoja Drought,https://www.newvision.co.ug/new_vision/news/1270256/usaid-assesses-karamoja-drought
43,2019-07-22,,"NAKAPIRIPIRIT, ALEBTONG, KOTIDO, MOROTO",MOROTO,KOTIDO,"The team also met with officials of Kotido, Moroto and Nakapiripirit districts.",Usaid Assesses Karamoja Drought,https://www.newvision.co.ug/new_vision/news/1270256/usaid-assesses-karamoja-drought
44,2019-07-22,KARAMOJA,"ABIM, KOTIDO, NABILATUK, KABONG, NAKAPIRIPIRIT, AMUDAT, MOROTO",,,The persistent drought in Karamoja has resulted into massive movements by the pastoralists into the neighboring districts in search of water and pastures.    ,Usaid Assesses Karamoja Drought,https://www.newvision.co.ug/new_vision/news/1270256/usaid-assesses-karamoja-drought
45,2019-07-22,"TESO, LANGO, ACHOLI","OMORO, OTUKE, AMOLATAR, AGAGO, NWOYA, KATAKWI, LAMWO, BUKEDEA, SOROTI, KOLE, AMURU, LIRA, SERERE, PADER, KITGUM, KAPELEBYONG, NGORA, AMURIA, DOKOLO, ALEBTONG, KABERAMAIDO, APAC, OYAM, KUMI, GULU, KWANIA",,,"They have perennially caused mayhem through the communities especially in Acholi, Lango, Teso, Bugishu and Sebei.",Usaid Assesses Karamoja Drought,https://www.newvision.co.ug/new_vision/news/1270256/usaid-assesses-karamoja-drought
46,2019-07-22,KARAMOJA,"ABIM, KOTIDO, NABILATUK, KABONG, NAKAPIRIPIRIT, AMUDAT, MOROTO",,,Karamoja drought,Usaid Assesses Karamoja Drought,https://www.newvision.co.ug/new_vision/news/1270256/usaid-assesses-karamoja-drought
47,2019-07-22,KARAMOJA,"ABIM, KOTIDO, NABILATUK, KABONG, NAKAPIRIPIRIT, AMUDAT, MOROTO",,,"THE United States Agency for International Development (USAID) has embarked on a drought assessment exercise in the Karamoja region reports,  ",Usaid Assesses Karamoja Drought,https://www.newvision.co.ug/new_vision/news/1270256/usaid-assesses-karamoja-drought
48,2004-06-07,,SIRONKO,,,Drought Hits Sironko. ,Drought Hits Sironko,https://www.newvision.co.ug/new_vision/news/1097021/drought-hits-sironko
49,2004-06-07,,SIRONKO,,,Drought hits Sironko  ,Drought Hits Sironko,https://www.newvision.co.ug/new_vision/news/1097021/drought-hits-sironko
50,2004-06-07,,"SIRONKO, BULAMBULI",,"BUNAMBUTYE, BUKHALU, MUYEMBE","Sironko district has been hit by a severe drought that has withered crops in three sub counties, reportsThe LC5 chairman, Francis Nagimesi, said in an interview on Monday that drought had hit Bunambutye, Muyembe and Bukhalu sub counties.",Drought Hits Sironko,https://www.newvision.co.ug/new_vision/news/1097021/drought-hits-sironko
51,2017-01-25,,ISINGIRO,ISINGIRO,,Drought: Isingiro people get food relief. ,Drought: Isingiro people get food relief,https://www.newvision.co.ug/new_vision/news/1444809/drought-isingiro-people-food-relief
52,2017-01-25,,ISINGIRO,ISINGIRO,,Isingiro is one of the leading producers of matooke in Uganda but that exalted position is now threatened by the persistent drought.  ,Drought: Isingiro people get food relief,https://www.newvision.co.ug/new_vision/news/1444809/drought-isingiro-people-food-relief
53,2017-01-25,,ISINGIRO,ISINGIRO,,Isingiro district in western Uganda has been adversely affected by prolonged drought.    ,Drought: Isingiro people get food relief,https://www.newvision.co.ug/new_vision/news/1444809/drought-isingiro-people-food-relief
54,2017-01-25,,ISINGIRO,ISINGIRO,,"In the wake of the food scarcity in the area, renowned American reverend and commercial farmer, Sam Childers, has donated approximately ten thousand kilograms (10 tons) of rice and beans to the people of Isingiro.    ",Drought: Isingiro people get food relief,https://www.newvision.co.ug/new_vision/news/1444809/drought-isingiro-people-food-relief
55,2017-01-25,,"AMURU, ISINGIRO",ISINGIRO,"AMURU, KASHUMBA","The food which was got from his farm in Amuru district was distributed to more than 1000 families in Kashumba sub county in Isingiro, which is said to be one of the most affected areas by the food shortage.    ",Drought: Isingiro people get food relief,https://www.newvision.co.ug/new_vision/news/1444809/drought-isingiro-people-food-relief
56,2017-01-25,,ISINGIRO,ISINGIRO,,"Childers, who has lived in Uganda for the past 20 years, said the families in Isingiro need help from all able and kind hearted Ugandans, instead of leaving the problem to government and other political leaders.    ",Drought: Isingiro people get food relief,https://www.newvision.co.ug/new_vision/news/1444809/drought-isingiro-people-food-relief
57,2017-01-25,,"KAMPALA, ISINGIRO",ISINGIRO,,"The problems in Isingiro are not custom tailored for that place,"" he told reporters at his offices in Muyenga, Kampala.    ",Drought: Isingiro people get food relief,https://www.newvision.co.ug/new_vision/news/1444809/drought-isingiro-people-food-relief
58,2017-01-25,,ISINGIRO,ISINGIRO,,The food items were delivered to Isingiro on Saturday.  ,Drought: Isingiro people get food relief,https://www.newvision.co.ug/new_vision/news/1444809/drought-isingiro-people-food-relief
59,2017-01-25,,ISINGIRO,ISINGIRO,,"He said the people of Isingiro should be helped in growing weather resistant food crops in a bid to tackle the drought problem, and promised to continue supporting the communities.    ",Drought: Isingiro people get food relief,https://www.newvision.co.ug/new_vision/news/1444809/drought-isingiro-people-food-relief
60,2017-01-25,,ISINGIRO,ISINGIRO,,"According to the ministry of agriculture, Isingiro is one of the leading producers of matooke in Uganda but that exalted position is now threatened by the persistent drought.",Drought: Isingiro people get food relief,https://www.newvision.co.ug/new_vision/news/1444809/drought-isingiro-people-food-relief
61,2002-01-20,,KOTIDO,,KOTIDO,Drought In Kotido,"Drought In Kotido, Moroto Says Rdc",https://www.newvision.co.ug/new_vision/news/1064868/drought-kotido-moroto-rdc
62,2002-01-20,,"ALEBTONG, MOROTO",MOROTO,,", Moroto Says Rdc. ","Drought In Kotido, Moroto Says Rdc",https://www.newvision.co.ug/new_vision/news/1064868/drought-kotido-moroto-rdc
63,2002-01-20,,KOTIDO,,KOTIDO,Drought in Kotido,"Drought In Kotido, Moroto Says Rdc",https://www.newvision.co.ug/new_vision/news/1064868/drought-kotido-moroto-rdc
64,2002-01-20,,"ALEBTONG, MOROTO",MOROTO,,", Moroto says RDC  ","Drought In Kotido, Moroto Says Rdc",https://www.newvision.co.ug/new_vision/news/1064868/drought-kotido-moroto-rdc
65,2002-01-20,,"ALEBTONG, KOTIDO, MOROTO, SOROTI","MOROTO, SOROTI","KOTIDO, SOROTI","The Soroti Resident District Commissioner, Mr Peter Kalagala, has said Moroto and Kotido district have been hit by drought.","Drought In Kotido, Moroto Says Rdc",https://www.newvision.co.ug/new_vision/news/1064868/drought-kotido-moroto-rdc
66,2002-01-20,,LUWERO,,KALAGALA,Kalagala said this in an interview with the New Vision recently.,"Drought In Kotido, Moroto Says Rdc",https://www.newvision.co.ug/new_vision/news/1064868/drought-kotido-moroto-rdc
67,2002-01-20,KARAMOJA,"ABIM, KOTIDO, NABILATUK, KABONG, NAKAPIRIPIRIT, AMUDAT, MOROTO",,,"He said a survey carried out by security personnel, indicated that a dry spell had hit Karamoja region.","Drought In Kotido, Moroto Says Rdc",https://www.newvision.co.ug/new_vision/news/1064868/drought-kotido-moroto-rdc
68,2002-04-02,,NAPAK,BOKORA,NGOLERIET,"This stage in a Karimojong youths life is very important but can not be conducted when there is a poor harvest because it involves banquets, Philip Ngorok, an elderly resident of Ngoleriet, Kangole sub county, Bokora county told The New Vision.",Karimojong Rituals Stalled By Drought,https://www.newvision.co.ug/new_vision/news/1063715/karimojong-rituals-stalled-drought
69,2003-10-26,WEST NILE,"ARUA, MARACHA, NEBBI, ADJUMANI, ZOMBO, YUMBE, PAKWACH, KOBOKO, MOYO",,,Drought Hits West Nile. ,Drought Hits West Nile,https://www.newvision.co.ug/new_vision/news/1257428/drought-hits-west-nile
70,2003-10-26,WEST NILE,"ARUA, MARACHA, NEBBI, ADJUMANI, ZOMBO, YUMBE, PAKWACH, KOBOKO, MOYO",,,Drought Hits West Nile  ,Drought Hits West Nile,https://www.newvision.co.ug/new_vision/news/1257428/drought-hits-west-nile
71,2003-10-26,WEST NILE,"ARUA, MARACHA, NEBBI, ADJUMANI, ZOMBO, YUMBE, PAKWACH, KOBOKO, MOYO",,,It is double tragedy for most people in the West Nile.,Drought Hits West Nile,https://www.newvision.co.ug/new_vision/news/1257428/drought-hits-west-nile
72,2003-10-26,,"ADJUMANI, MOYO",,MOYO,"Perennial crops like sim sim, sunflower, groundnuts, beans and cowpeas are the most affected in Moyo and Adjumani districts.",Drought Hits West Nile,https://www.newvision.co.ug/new_vision/news/1257428/drought-hits-west-nile
73,2003-10-26,,"ADJUMANI, MOYO",,"MOYO, ITULA, ADROPI, GIMARA, ALIBA","Most affected are Lefori, Dufile, Itula, Gimara and Aliba sub counties in Moyo and Adropi sub county in Adjumani district.",Drought Hits West Nile,https://www.newvision.co.ug/new_vision/news/1257428/drought-hits-west-nile
74,2003-10-26,,ARUA,,,In Arua the floods killed at least four Sudanese refugees and household property worth millions of shillings was destroyed.,Drought Hits West Nile,https://www.newvision.co.ug/new_vision/news/1257428/drought-hits-west-nile
75,2003-10-26,,MOYO,,MOYO,"Moyo district agriculture officer Alabi Ajavu described the situation as a disaster, which has already caused famine in the region.",Drought Hits West Nile,https://www.newvision.co.ug/new_vision/news/1257428/drought-hits-west-nile
76,2017-02-14,"TESO, WEST NILE, KIGEZI","ARUA, MARACHA, PAKWACH, KATAKWI, KANUNGU, BUKEDEA, KABALE, SOROTI, KOBOKO, MOYO, SERERE, RUKIGA, ADJUMANI, KAPELEBYONG, NGORA, AMURIA, KABERAMAIDO, KISORO, NEBBI, KUMI, ZOMBO, YUMBE, RUBANDA, RUKUNGIRI",,,"The food insecurity was experienced in West Nile, parts of Kigezi, Teso and Yumbe.    ",Farmers told to adopt drought-tolerant maize varieties,https://www.newvision.co.ug/new_vision/news/1473252/farmers-told-adopt-drought-tolerant-maize-varieties
77,2002-01-21,,KAYUNGA,,KAYUNGA,Drought Hits Kayunga. ,Drought Hits Kayunga,https://www.newvision.co.ug/new_vision/news/1064766/drought-hits-kayunga
78,2002-01-21,,KAYUNGA,,KAYUNGA,"Kayunga  DROUGHT has hit Kayunga district forcing herdsmen to move, reports Nicholas Kajoba.",Drought Hits Kayunga,https://www.newvision.co.ug/new_vision/news/1064766/drought-hits-kayunga
79,2017-03-20,,,BARINGO,,The deaths come a week after 13 people were killed in the western Baringo region when Ilchamus and Pokot herdsmen clashed over grazing at an area called Mukutani.  ,10 killed in latest Kenya drought clash,https://www.newvision.co.ug/new_vision/news/1448973/killed-kenya-drought-clash
80,2017-03-20,,,BARINGO,,The deaths come a week after 13 people were killed in the western Baringo region when Ilchamus and Pokot herdsmen clashed over grazing at an area called Mukutani.    ,10 killed in latest Kenya drought clash,https://www.newvision.co.ug/new_vision/news/1448973/killed-kenya-drought-clash
81,2017-03-20,,,BARINGO,,"On Sunday in Mukutani, four police officers were wounded when suspected Pokot herdsmen fired on their vehicle as they escorted members of the Ilchamus community to safety, according to Baringo police.    ",10 killed in latest Kenya drought clash,https://www.newvision.co.ug/new_vision/news/1448973/killed-kenya-drought-clash
82,2010-08-24,,BUSHENYI,,,Drought Hits Bushenyi District. ,Drought Hits Bushenyi District,https://www.newvision.co.ug/new_vision/news/1284104/drought-hits-bushenyi-district
83,2010-08-24,,BUSHENYI,,,Drought hits Bushenyi district  ,Drought Hits Bushenyi District,https://www.newvision.co.ug/new_vision/news/1284104/drought-hits-bushenyi-district
84,2010-08-24,,BUSHENYI,,,BY CHRIS MUGASHATowns and neighboring villages in Bushenyi district have run out of water due to the prolonged dry season.,Drought Hits Bushenyi District,https://www.newvision.co.ug/new_vision/news/1284104/drought-hits-bushenyi-district
85,2010-08-24,,BUSHENYI,,,"In Bushenyi town, the only remaining source of water is Kajurugo man made lake.",Drought Hits Bushenyi District,https://www.newvision.co.ug/new_vision/news/1284104/drought-hits-bushenyi-district
86,2017-04-13,,KATAKWI,,,"The State Minister for Disaster Preparedness, Musa Ecweru, has reiterated the need for more food to be supplied to different sub counties of Katakwi district.  ",More food needed for drought relief - Ecweru,https://www.newvision.co.ug/new_vision/news/1451008/food-drought-relief-ecweru
87,2017-04-13,,KATAKWI,TOROMA,,He made the remarks during the launch of food relief distribution in Toroma Sub County in Katakwi district.  ,More food needed for drought relief - Ecweru,https://www.newvision.co.ug/new_vision/news/1451008/food-drought-relief-ecweru
88,2017-04-13,TESO,"KABERAMAIDO, SERERE, KUMI, KAPELEBYONG, BUKEDEA, NGORA, SOROTI, AMURIA, KATAKWI",,,"According to Ecweru, Katakwi, Soroti, Amuria, Kaberamaido, Kumi, Ngora, Serere and other districts in Teso have no rains that can support agriculture.  ",More food needed for drought relief - Ecweru,https://www.newvision.co.ug/new_vision/news/1451008/food-drought-relief-ecweru
89,2017-04-13,,KATAKWI,,,I have never seen a situation like this one in Katakwi for some good time Ecweru said.  ,More food needed for drought relief - Ecweru,https://www.newvision.co.ug/new_vision/news/1451008/food-drought-relief-ecweru
90,2017-04-13,,KATAKWI,,OMODOI,Ecweru who inspected gardens in Omodoi Sub County saw how crops were drying up as a result of prolonged drought.  ,More food needed for drought relief - Ecweru,https://www.newvision.co.ug/new_vision/news/1451008/food-drought-relief-ecweru
91,2017-04-13,,KATAKWI,,NGARIAM,the Ngariam Sub County LC3 chairperson said majority of the people in his area survived on water.  ,More food needed for drought relief - Ecweru,https://www.newvision.co.ug/new_vision/news/1451008/food-drought-relief-ecweru
92,2017-04-26,,NEBBI,,NEBBI,Nebbi businesses count loses as drought persists. ,Nebbi businesses count loses as drought persists,https://www.newvision.co.ug/new_vision/news/1452024/nebbi-businesses-count-loses-drought-persists
93,2017-04-26,,NEBBI,,NEBBI,"As the drought continues to bite in the northern part of the country, businesses in Nebbi town are counting losses as power supply continues to be unreliable.    ",Nebbi businesses count loses as drought persists,https://www.newvision.co.ug/new_vision/news/1452024/nebbi-businesses-count-loses-drought-persists
94,2017-04-26,WEST NILE,"ARUA, MARACHA, NEBBI, ADJUMANI, ZOMBO, YUMBE, PAKWACH, KOBOKO, MOYO",,NEBBI,"Unlike most parts of Uganda, the West Nile districts of Nebbi, Zombo and Arua are not connected to the countrys main power grid; rather, they depend on electricity generated from Nyagak River in Zombo district.",Nebbi businesses count loses as drought persists,https://www.newvision.co.ug/new_vision/news/1452024/nebbi-businesses-count-loses-drought-persists
95,2017-04-26,WEST NILE,"ARUA, MARACHA, NEBBI, ADJUMANI, ZOMBO, YUMBE, PAKWACH, KOBOKO, MOYO",,"PAIDHA, NEBBI","Before West Nile Rural Electrification Company Ltd (WENRECo) started generating power at Nyagak, the company operated a 1.5 megawatts heavy fuel generator which supplied power to Arua, Nebbi and Paidha towns.",Nebbi businesses count loses as drought persists,https://www.newvision.co.ug/new_vision/news/1452024/nebbi-businesses-count-loses-drought-persists
96,2017-04-26,WEST NILE,"ARUA, MARACHA, NEBBI, ADJUMANI, ZOMBO, YUMBE, PAKWACH, KOBOKO, MOYO",,,"Denis Komakech, who runs a similar business to Omirambe on Uringi road, says government should connect West Nile to the main power grid.    ",Nebbi businesses count loses as drought persists,https://www.newvision.co.ug/new_vision/news/1452024/nebbi-businesses-count-loses-drought-persists
97,2014-12-22,,KASESE,,,Tough times as drought hits Kasese farmers. ,Tough times as drought hits Kasese farmers,https://www.newvision.co.ug/new_vision/news/1317949/tough-times-drought-hits-kasese-farmers
